Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,2,RUS,GM,Duhless,Daniil Dubov,3096,W69B,D123W,W459B,W437W,D13B,W53W,W17B,W6W,W359W,W3B,D4W,9.5,73,75,63.25,0,8,4,2864
2,19,BLR,GM,DenLaz,Denis Lazavik,3038,W121W,W423B,W115W,D31B,W381W,W40B,W83W,W35B,D3B,D10W,W15B,9.5,72,75,62.25,0,8,4,2860
3,5,RUS,GM,Sibelephant,Vladislav Artemiev,3128,W268W,W366B,W51W,W9B,W7W,D18B,W11W,W4B,D2W,L1W,W27B,9,83,87,68.75,0,8,4,2936
4,8,SRB,GM,mishanick,Aleksei Sarana,3016,W398B,W118W,W59B,W54W,W17B,W22W,W122B,L3W,D13B,W7W,D1B,9,78,82,64,0,8,4,2919
5,1,USA,GM,Hikaru,Hikaru Nakamura,3286,W116W,W61B,W12W,W30B,W67W,L122B,W27W,D36B,D18B,W17W,W10B,9,76.5,82.5,68.75,0,8,3,2892
6,37,TUR,GM,SantoBlue,Vahap Sanal,2916,W105W,W408B,D405W,W155B,W39W,D20B,W63W,L1B,W72B,W65W,W18B,9,69.5,73,57.75,0,8,4,2822
7,32,BEL,GM,DanielDardha2005,Daniel Dardha,2869,W498B,W193W,W120B,W403W,L3B,W286W,W51B,W41W,W9B,L4B,W16W,9,68,68.5,50.5,0,9,4,2841
8,72,POL,GM,krzyzan94,Marcin Krzyżanowski,2772,W95W,W126B,L81B,W448W,W117B,L367B,W88W,W376W,W22B,W25W,W19B,9,66,68,56,0,9,4,2740
9,48,UKR,GM,igorkovalenko,Igor Kovalenko,2809,W198W,W159B,W96W,L3W,W44B,W81W,W37W,W19B,L7W,D11B,W47W,8.5,75.5,80.5,58.25,0,8,3,2819
10,60,URY,,anon6121824,,2898,W480W,W472B,W157W,W37W,D368B,D19B,W21W,W22B,W36W,D2B,L5W,8.5,70,71,50.5,0,7,2,2915
11,26,DEU,GM,rasmussvane,Rasmus Svane,2966,W228B,W388W,D39B,W52W,W405B,W26W,L3B,D72W,W364B,D9W,W35W,8.5,69.5,73,52.5,0,7,3,2798
12,84,RUS,GM,alexrustemov,Alexander Rustemov,2861,W227W,W396B,L5B,W49W,D90B,W97B,L38W,W182W,W68B,W361B,W36W,8.5,68,72,52.25,0,8,4,2752
13,47,USA,GM,TigrVShlyape,Gata Kamsky,2970,W411B,W89W,W420B,D360W,D1W,W403B,W367W,W65B,D4W,D16W,D20B,8.5,67.5,70.5,50,0,6,4,2936
14,10,RUS,GM,dropstoneDP,David Paravyan,3046,W485B,W101W,W84B,D382B,L26W,D165B,W28W,W31B,D361W,W362B,W45W,8.5,67.5,68.5,52.25,0,7,4,2774
15,28,RUS,GM,Andreikka,Andrey Esipenko,2938,L153B,W345W,W424B,D327W,W388B,W87W,W371B,W52W,W360W,W35B,L2W,8.5,58,59,42.75,0,8,4,2734
16,12,DEU,GM,Msb2,Matthias Bluebaum,3026,W242B,W127W,W42B,W94W,W359B,D35W,L36W,W26B,W83W,D13B,L7B,8,74,78.5,54,0,7,4,2856
17,38,USA,GM,Zkid,Steven Zierk,2861,W173B,W192W,W48B,W81W,L4W,W394B,L1W,W62W,W33B,L5B,W56W,8,74,78,50.5,0,8,4,2865
18,24,USA,GM,AlexanderL,Aleksandr Lenderman,2882,W455B,W378W,W406B,W211W,W53B,D3W,L35B,W42B,D5W,W359B,L6W,8,69.5,71.5,46,0,7,5,2875
19,22,GEO,GM,exoticprincess,Baadur Jobava,3002,D379B,W389W,W392B,W124W,W362B,D10W,W374B,L9W,W54B,W30B,L8W,8,68,72,47.75,0,7,5,2791
20,4,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3038,W412B,W461W,D362B,W82W,W382B,D6W,L359B,W56W,W363W,D36B,D13W,8,66.5,68.5,45.75,0,6,2,2843
21,14,UKR,GM,eljanov,Pavel Eljanov,2903,W343B,W117W,W387B,L363W,W55B,W66W,L10B,L51W,W139B,W84W,W48B,8,66.5,67.5,45.5,0,8,5,2766
22,35,RUS,GM,shimastream,Aleksandr Shimanov,3026,W466W,W327B,W63W,W86B,W367W,L4B,W211B,L10W,L8W,W365B,W60W,8,66,68,41.5,0,8,4,2828
23,46,IRN,FM,Sina_Movahed,Sina Movahed,2887,W202W,W166B,D70W,L111B,W130W,D28B,W366W,W152B,L65W,W52B,W62W,8,65.5,70.5,49.5,0,7,3,2712
24,82,INT,GM,Rakhmanov_Aleksandr,Aleksandr Rakhmanov,2850,W174W,W167B,W256W,L122W,L81B,W154W,D47B,W104W,W172B,W38W,D29W,8,64,68,47.75,0,7,2,2670
25,27,USA,GM,Sebastian,Leinier Dominguez Perez,2932,L151W,W160B,W153W,W88B,W393W,W390B,L41B,W115W,W37W,L8B,W53W,8,64,68,46,0,8,3,2736
26,59,SRB,GM,Beca95,Aleksandar Indjic,2969,W503B,D99W,W156B,W434W,W14B,L11B,W386W,L16W,D52B,W124W,W78W,8,64,64,40.75,0,7,3,2760
27,40,SRB,GM,Alexandr_Predke,Alexandr Predke,2858,U--,W265B,W485W,W192W,W73B,W43W,L5B,W84W,W41B,W51W,L3W,8,62.5,63.5,45.5,0,8,3,2801
28,131,DEU,GM,chessdjw,Dennis Wagner,2783,D231B,W128W,W238W,L36B,W407W,D23W,L14B,W399W,W119B,W364W,W58B,8,62,65.5,43.25,0,7,2,2683
29,29,RUS,GM,TimofeevAr,Artem Timofeev,2866,W501W,W88B,L55W,W454B,W102W,L51B,W395W,D82B,W86W,W42W,D24B,8,61.5,61.5,40.25,0,7,2,2721
30,45,IND,GM,mitrabhaa,Mitrabha Guha,2823,W502B,W130W,W393B,L5W,W420B,L63W,W403W,W55B,W122B,L19W,W51B,8,61,61,37,0,8,6,2799
31,80,KAZ,IM,Manticore17,Arystanbek Urazayev,2802,W352W,W302B,W415W,D2W,L38B,D392W,W289B,L14W,W138B,W61W,W71B,8,60,60,37.25,0,7,4,2731
32,61,RUS,CM,stollenmonster,Egor Baskakov,2849,W47B,D161W,W182B,L386W,D138B,L289W,W190B,W106W,W118B,W120W,W72W,8,59.5,63.5,49.25,0,7,4,2611
33,13,IND,GM,champ2005,Raunak Sadhwani,2974,L303W,W321B,W398W,W275B,L43B,W138W,W120B,W373B,L17W,W115W,W66B,8,57,59.5,40.5,0,8,5,2703
34,78,IND,GM,Harsha_Bharathakoti,Harsha Bharathakoti,2849,L339W,W200B,W466W,L170B,L190W,W191B,W113W,W116B,W378B,W366W,W57B,8,53,54.5,42.5,0,8,5,2565
35,81,UKR,GM,VitaliyBernadskiy,Vitaliy Bernadskiy,2860,W307B,W98W,W85B,W413W,W361W,D16B,W18W,L2W,W38B,L15W,L11B,7.5,72.5,75.5,45,0,7,3,2866
36,42,VNM,GM,wonderfultime,Tuan Minh Le,2981,W487W,D162B,W135W,W28W,W386B,W368W,W16B,D5W,L10B,D20W,L12B,7.5,71.5,72.5,44.25,0,6,2,2856
37,9,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3011,W310W,W50B,W223W,L10B,W62W,W56W,L9B,W211W,L25B,D39B,W64W,7.5,71,74,45.25,0,7,1,2799
38,20,UZB,GM,Shield12,Shamsiddin Vokhidov,2889,W190B,D392W,W460B,W46B,W31W,L83B,W12B,W39W,L35W,L24B,W111W,7.5,69,71,47,0,7,4,2760
39,112,RUS,GM,Kobalia,Mikhail Kobalia,2699,W226W,W197B,D11W,W383B,L6B,W164W,W45W,L38B,D57B,D37W,W97B,7.5,68.5,73,45,0,6,3,2806
40,44,IND,GM,Vaathi_Coming,Aravindh Chithambaram,2923,W103W,D386B,W162W,W439B,W111W,L2W,W76B,L360B,L82W,W59B,W86W,7.5,66,68.5,43.75,0,7,3,2755
41,89,POL,GM,Byniolus,Zbigniew Pakleza,2779,L85B,W244W,W487B,W468W,W93B,W361B,W25W,L7B,L27W,D86B,W90W,7.5,64,65,38.25,0,7,3,2697
42,97,PER,GM,Sychev_on_YouTube,Klementy Sychev,2846,W233B,W176W,L16W,D302B,W168W,W90B,W383B,L18W,W109W,L29B,W89B,7.5,63.5,67,41.25,0,7,4,2718
43,109,BGR,IM,nurgyulsalimova,Nurgyul Salimova,2606,W148B,W142W,L413B,W455B,W33W,L27B,W136W,D71B,L45B,W156W,W104W,7.5,63.5,65.5,43.5,0,7,2,2724
44,149,RUS,GM,BocharovD,Dmitriy Bocharov,2761,W180B,W258W,W364B,L67W,L9W,W212B,W384B,D92W,L58B,W98B,W105W,7.5,63,67,41.25,0,7,5,2711
45,41,SWE,GM,Grandelicious,Nils Grandelius,2870,W216B,L454W,W190B,D159W,W89B,W155W,L39B,W386B,W43W,W82B,L14B,7.5,62,64,43.25,0,7,5,2694
46,104,USA,IM,GothamChess,Levy Rozman,2763,W183W,D151B,W399B,L38W,L68B,W153W,W302B,L47W,W99W,W182B,W100W,7.5,61,64.5,39.75,0,7,3,2603
47,306,PER,FM,Diego_FloresQ,Diego Flores Quillas,2594,L32W,W316B,W458W,W395W,W418B,L54W,D24W,W46B,W372W,W363B,L9B,7.5,61,63,35.5,0,7,4,2789
