Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,2,USA,GM,Hikaru,Hikaru Nakamura,3286,W147W,W33B,W95W,W16B,W201W,L3B,W10W,W189B,W187W,D2W,W9B,9.5,70.5,74,60.25,0,9,4,2981
2,18,RUS,GM,Duhless,Daniil Dubov,3096,U--,W155B,W64B,W72W,W94B,W196W,W188B,W17W,W3W,D1B,W11W,9.5,61,64,59.25,0,9,4,2877
3,13,RUS,GM,BillieKimbah,Maxim Matlakov,2986,W80B,W192W,W28B,W199W,W188B,W1W,W15B,W14W,L2B,D9W,D8B,9,74.5,78.5,60.75,0,8,4,2982
4,7,IND,GM,GHANDEEVAM2003,Arjun Erigaisi,3086,W47B,W40W,W234B,W7W,W10B,L15W,D16W,W24B,L6W,W46B,W17W,8.5,74.5,76.5,56.75,0,8,5,2894
5,1,USA,GM,GMWSO,Wesley So,3103,W51B,W6W,D200B,W53W,D11B,W95W,L14B,W27W,W16W,D17B,W25W,8.5,71.5,75.5,58.25,0,7,1,2937
6,58,ARM,GM,Dedic8,Sergei Lobanov,2788,W197B,L5B,W176W,D56W,W72B,W23B,W195W,W18W,W4B,L11W,W16W,8.5,68.5,69.5,49.75,0,8,4,2866
7,24,KAZ,GM,Denis_Makhnyov,Denis Makhnev,2947,W264W,W223B,W136W,L4B,D40W,W44B,W50W,L9B,W39W,W19W,W21B,8.5,64,64,44.25,0,8,3,2838
8,7,IRN,GM,bardiya_Daneshvar,Bardiya Daneshvar,2938,U--,W221B,L160W,W120W,W198B,W191W,W40B,W58B,W190W,W187B,D3W,8.5,52,55,47.5,0,8,5,2778
9,10,VNM,GM,wonderfultime,Tuan Minh Le,2981,W34W,W29B,L27W,W38B,W13W,D30B,W42B,W7W,W14B,D3B,L1W,8,77,83.5,59,0,7,4,2906
10,25,VNM,GM,crescentmoon2411,Nguyen Ngoc Truong Son,2873,W81B,W77W,W130W,W190B,L4W,W45B,L1B,D192W,D62B,W33W,W30B,8,67,71,47.25,0,7,4,2832
11,14,BLR,GM,DenLaz,Denis Lazavik,3038,W177W,D76B,W216W,W206B,D5W,W27B,W53W,L187B,W189W,W6B,L2B,8,64.5,65.5,42.5,0,7,3,2914
12,26,RUS,GM,alexrustemov,Alexander Rustemov,2861,D72W,W166B,W76W,D187B,W41W,W192B,L189W,W29B,L15B,W58W,W28B,8,63,65.5,46,0,7,4,2820
13,56,IND,GM,GMSrinath,Srinath Narayanan,2888,W78B,W131W,W222W,L201B,L9B,W136W,W100B,L19W,W93B,W34W,W27W,8,57,59.5,40,0,8,3,2752
14,5,CHN,GM,chesspanda123,Yu Yangyi,3047,W160B,W58W,W24B,D23W,W20B,W18W,W5W,L3B,L9W,L16B,W53B,7.5,75.5,78.5,50.25,0,7,4,2959
15,4,CHN,GM,LOVEVAE,Wei Yi,3074,W114W,W31B,W75W,D20B,W23W,W4B,L3W,L16B,W12W,L25B,W42W,7.5,74.5,79,51.25,0,7,2,2936
16,20,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3045,W228W,W191B,W85W,L1W,W58B,W28W,D4B,W15W,L5B,W14W,L6B,7.5,74.5,77,46.25,0,7,2,2946
17,28,CHN,GM,xxysoul6,Xu Xiangyu,2979,W107W,W99B,W132W,W19W,D18B,D189B,W21W,L2B,W36W,D5W,L4B,7.5,72,76,47,0,6,1,2905
18,15,SRB,GM,mishanick,Aleksei Sarana,3016,W74B,W38W,W48B,W27W,D17W,L14B,W30W,L6B,L53W,W36B,W45W,7.5,70.5,76,49.75,0,7,3,2837
19,12,RUS,GM,shimastream,Aleksandr Shimanov,3026,W106W,W62B,W193W,L17B,L45W,W54B,W33W,W13B,D21W,L7B,W48W,7.5,69,74,47.75,0,7,3,2838
20,22,ESP,GM,GMVallejo,Francisco Vallejo Pons,2911,W88W,W61B,W41B,D15W,L14W,L50B,W211B,W83W,W192B,L21B,W38W,7.5,64.5,68,42.75,0,7,4,2826
21,6,USA,GM,FabianoCaruana,Fabiano Caruana,3125,W93W,W86B,W233W,L188B,W193W,W199B,L17B,W32W,D19B,W20W,L7W,7.5,63.5,65.5,39.75,0,7,2,2881
22,29,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2944,W96B,L49W,W98B,L39W,W34B,W67W,L29B,W89W,D90W,W192B,W43W,7.5,61,66,43.25,0,7,4,2663
23,21,UZB,GM,Shield12,Shamsiddin Vokhidov,2889,W116B,W204W,W208W,D14B,L15B,L6W,L39B,W147W,W76W,W83B,W46W,7.5,59.5,63,36.75,0,7,2,2787
24,36,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2901,W232W,W179B,L14W,W191B,D39B,W208W,W97B,L4W,D43W,D38B,W47W,7.5,58.5,59.5,33.75,0,6,3,2750
25,16,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3038,W248W,L208B,D114W,W156W,W202B,L42W,W55B,W44B,W50W,W15W,L5B,7.5,57,58,37.25,0,7,3,2790
26,9,IND,GM,vi_pranav,Pranav V,2964,W265B,L41W,W93B,D208W,L83B,W114W,W105B,L36B,W74W,W44B,W52W,7.5,55.5,55.5,34.75,0,7,4,2665
27,45,UZB,IM,PLAYER_2006_M,Mukhiddin Madaminov,2955,W148B,W119W,W9B,L18B,W214W,L11W,W35B,L5B,W29W,W62W,L13B,7,68,71,39,0,7,3,2825
28,50,CHN,GM,Real_OceanStorm,Yury Piskov,2819,W280B,W145W,L3W,W57B,W190W,L16B,L46W,W136B,W63B,W191W,L12W,7,63,63,32,0,7,4,2764
29,69,USA,CM,BeanScreen,Zachary Tanenbaum,2740,W87W,L9W,W96B,L133W,W91B,W217B,W22W,L12W,L27B,W65W,W60B,7,62.5,65.5,38.5,0,7,4,2683
30,41,RUS,FM,Iball95,Vakhlamov Igor,2770,W258B,D214W,D69B,W63W,W77B,D9W,L18B,D38W,W194B,W35W,L10W,7,62.5,63.5,36.25,0,5,3,2765
31,61,ROU,IM,jacky72,Mihnea Costachi,2882,W104W,L15W,W103B,W34B,W213W,L188W,L190B,L93W,W98B,W64W,W68B,7,58.5,61.5,37,0,7,4,2757
32,44,IND,GM,vinniethepooh,Aditya Mittal,2877,W70W,W108B,L190B,W99W,W218B,W201W,L187W,L21B,L38B,W82W,W39B,7,58.5,61.5,35,0,7,3,2787
33,59,RUS,GM,Smirnov_Pavel,Pavel Smirnov,2733,W79W,L1W,W248B,L160B,W106W,W218B,L19B,W105W,W82B,L10B,W61W,7,58,59,31,0,7,3,2724
34,121,ESP,IM,ilm2034,Iñigo López Mulet,2626,L9B,W254W,W249B,L31W,L22W,W101B,W133W,W40W,W94B,L13B,W62W,7,58,59,28.5,0,7,3,2735
35,81,IND,IM,Thunderbolt135,,2743,W143W,L201W,W252B,L203W,W96B,W73W,L27W,W60B,W59W,L30B,W66B,7,54,55,33,0,7,4,2676
36,110,IND,CM,wqws,kaivalya nagare,2669,L241W,W253B,L203B,W87W,W237W,W41B,W94B,W26W,L17B,L18W,W58B,7,53.5,54.5,33.5,0,7,4,2767
37,44,SRB,FM,Ivan11Martic,Ivan Martic,2626,U--,L175W,W118B,W220W,L46W,W156B,L49B,W132W,W69B,W63W,W75W,7,45,46,32,0,7,3,2500
38,75,LKA,FM,Ranindu2003,Ranindu Dilshan Liyanage,2704,W134W,L18B,W170W,L9W,W65B,W60W,D196B,D30B,W32W,D24W,L20B,6.5,65,67,34.5,0,5,1,2791
39,82,HUN,IM,CSB7,Balázs Csonka,2729,W133B,L222B,W79W,W22B,D24W,L190B,W23W,W196W,L7B,W50B,L32W,6.5,64.5,67,39.25,0,6,3,2847
40,65,UKR,FM,PeshkaCh,Tykhon Cherniaiev,2712,W227W,L4B,W65W,W209B,D7B,D200W,L8W,L34B,W100W,W74B,D51W,6.5,63,65.5,32,0,5,2,2727
41,68,IND,FM,Aradhya2000,Aradhya Garg,2758,W73B,W26B,L20W,W232W,L12B,L36W,L74B,D78B,W131W,W72B,W89W,6.5,61.5,63.5,32.75,0,6,3,2655
42,47,UZB,FM,Zohid6,Mukhammadzokhid Suyarov,2718,W243W,W101B,D189W,L200W,W207B,W25B,L9W,L43B,W49W,W90B,L15B,6.5,60,62,33,0,6,4,2807
43,90,GRC,FM,AlexPapasimakopoulos,Alexandros Papasimakopoulos,2725,D155W,D113B,W135W,D59W,L84B,W107W,W48B,W42W,D24B,D45W,L22B,6.5,59.5,62.5,35.75,0,4,1,2700
44,62,UZB,FM,AlmasChampion1,Almas Rakhmatullaev,2914,D252B,W120W,L72B,W114W,W113B,L7W,W47B,L25W,W97B,L26W,W77W,6.5,59.5,60.5,31,0,6,3,2682
45,55,RUS,IM,MatthewG-p4p,Matvey Galchenko,2895,W260W,W164B,L201B,W136W,W19B,L10W,W63W,L188B,W61W,D43B,L18B,6.5,58,59,30.25,0,6,2,2773
46,76,ARM,FM,BENO_CHESS,Benik Agasarov,2706,L117B,L78W,W231B,W252W,W37B,W130W,W28B,D53B,W95W,L4W,L23B,6.5,58,59,29.75,0,6,3,2660
47,118,RUS,NM,vladgoncharov,Vladislav Goncharov,2544,L4W,W134B,L236W,W159B,D48B,W52W,L44W,W79B,W198W,W95B,L24B,6.5,57.5,59.5,31.75,0,6,4,2731
48,51,CAN,GM,KNVB,Aman Hambleton,2796,W238W,W139B,L18W,L214B,D47W,W147B,L43W,W56B,W89B,W54W,L19B,6.5,57,59,31.25,0,6,4,2683
49,98,RUS,IM,Ural_bogatyr,Vladimir Demin,2543,W286W,W22B,L188W,L193B,L73W,W243B,W37W,D75W,L42B,W88W,W83W,6.5,56,56,30.25,0,6,2,2692
50,89,POL,GM,Byniolus,Zbigniew Pakleza,2779,U--,W243B,W177W,D69B,W51W,W20W,L7B,W97W,L25B,L39W,W76W,6.5,55,56,30.5,0,6,1,2741
51,112,INT,IM,bazar-wokzal,Nikolai Vlassov,2576,L5W,W73B,W131B,D226W,L50B,W113W,D202B,L94W,W130B,W59W,D40B,6.5,54.5,57,30.5,0,5,3,2695
52,53,ESP,GM,Miguelito,Miguel Santos Ruiz,2751,W266W,L132B,L97B,W238W,D89W,L47B,W66W,W103B,W55W,W77B,L26B,6.5,53.5,53.5,27.75,0,6,2,2599
53,52,KAZ,IM,Manticore17,Arystanbek Urazayev,2802,W261B,W220W,W213W,L5B,W133W,W203B,L11B,D46W,W18B,U--,L14W,6.5,52,53,25.75,0,6,3,2844
54,84,INT,GM,Aygehovit1992,Nikita Matinian,2747,U--,W197W,W104B,L75B,W108W,L19W,D88B,W209W,W84B,L48B,W85W,6.5,50.5,54,31.75,0,6,2,2682
55,79,ARG,GM,olksuna,Leandro Krysa,2641,W115W,L213B,W119W,D222B,L195B,W198W,L25W,W212B,L52B,W116W,W73W,6.5,48.5,51,28.25,0,6,1,2696
56,104,RUS,GM,pavel_skatchkov,Pavel Skatchkov,2651,W257W,L199B,W175W,D6B,L206W,L210B,W110B,L48W,W79W,W102B,W90W,6.5,48,49,27.25,0,6,2,2636
57,21,POL,FM,caropawn10,,2686,U--,W227B,W157B,L28W,L130B,W238W,W104W,L59B,W127W,D73B,W95W,6.5,42.5,44.5,24.75,0,6,2,2543
58,63,ARM,GM,EREBUNI91,,2790,W66W,L14B,W171W,W89B,L16W,W93B,W201B,L8W,W70B,L12B,L36W,6,65,67,28.5,0,6,4,2775
59,42,CHN,NM,Abund,"Yuan, Qingyu",2705,W275W,L136B,W60W,D43B,D69W,D77B,D61W,W57W,L35B,L51B,W106W,6,59,59,29.5,0,4,0,2626
60,122,RUS,FM,Angel_Hranitel_37,Leonid Kaspersky,2524,L189W,W143B,L59B,W227W,W85W,L38B,W102B,L35W,W71B,W94W,L29W,6,57.5,60,27.5,0,6,3,2741
61,88,RUS,FM,Witik,Vjacheslav Weetik,2829,W118W,L20W,L113B,W101W,D148B,W120W,D59B,W108W,L45B,W70W,L33B,6,56.5,60,29.75,0,5,0,2602
62,71,IND,IM,WhiteKnight2612,Rohith Krishna,2814,W231W,L19W,W250B,W132B,L199W,W64B,D95B,W84W,D10W,L27B,L34B,6,56.5,57.5,25.5,0,5,3,2743
63,30,RUS,IM,Flawless_Fighter,Polina Shuvalova,2661,U--,W123W,W145B,L30B,W70W,W75W,L45B,W96B,L28W,L37B,W109B,6,53.5,57,29.5,0,6,3,2634
64,111,ESP,FM,CrushingKings,Alejandro Domingo Nuñez,2545,W165B,L234B,L2W,W197B,W132W,L62W,W115B,L194B,W125W,L31B,W111W,6,52.5,54.5,25,0,6,3,2576
65,135,FIN,FM,DucksParadise,Oliver Wartiovaara,2428,L188W,W256B,L40B,W126W,L38W,L115B,W118W,W220B,W102W,L29B,W94B,6,52.5,53.5,23,0,6,3,2587
66,174,IND,CM,littlepinkyboy,Adireddy Arjun,2351,L58B,L245W,W125B,L105B,W153W,W91W,L52B,W205W,W99W,W93B,L35W,6,52,53,27.5,0,6,2,2585
