Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,10,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3099,W226W,W140B,W53W,W25B,W342W,W346B,W19W,D6B,W341W,L2B,W13W,9.5,76,80.5,66.75,0,9,3,2920
2,1,USA,GM,Hikaru,Hikaru Nakamura,3273,W514B,W169W,W433B,W45W,D341B,W34W,D8B,W24W,W21B,W1W,D4B,9.5,73,73,60.5,0,8,3,2916
3,5,USA,GM,FabianoCaruana,Fabiano Caruana,3105,W248B,W61W,W115B,W54W,D34B,L341W,W358B,W48B,W14W,W17B,W7W,9.5,72.5,76.5,65.25,0,9,5,2898
4,4,FRA,GM,Firouzja2003,Alireza Firouzja,3127,W227W,W420B,W22W,W9B,W24W,D21B,L341W,W50W,W30B,W11B,D2W,9,78,80.5,64.25,0,8,4,2924
5,40,AZE,GM,Durarbayli,Vasif Durarbayli,2897,W194W,W126B,L232B,W120W,W372W,W113B,W115W,L11B,W56W,W25W,W29B,9,65,69,56,0,9,3,2739
6,6,DEU,GM,Msb2,Matthias Bluebaum,3055,W111W,W63B,D388W,W149B,W44W,W26W,W32B,D1W,D10B,L13B,W42W,8.5,75.5,79,59.75,0,7,3,2860
7,8,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3054,W201W,W473B,W80W,W216W,D8B,L32W,W39B,W42W,W344B,W10W,L3B,8.5,72,73,51.75,0,8,3,2884
8,37,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2850,W515B,W162W,W152B,W373W,D7W,W23B,D2W,W347B,D11W,D19B,D15W,8.5,72,72,50.5,0,6,4,2881
9,65,IND,GM,Sethu0025,Sethuraman S.P,2766,W148W,W393B,W147W,L4W,W376B,W150B,L20W,W61B,W27B,W21W,D19W,8.5,68.5,72,51,0,8,5,2794
10,19,IRN,GM,Parhamov,Parham Maghsoodloo,2971,W328B,W86W,L52B,W374W,W160B,W37W,W54B,W346W,D6W,L7B,W44W,8.5,68,69,49.25,0,8,3,2804
11,13,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3022,W411B,W480W,W113B,W35B,W367W,L19B,W348W,W5W,D8B,L4W,W32W,8.5,68,69,47.75,0,8,3,2871
12,2,RUS,GM,dropstoneDP,David Paravyan,2985,W503W,W91B,W49W,D31B,L346W,W80B,L347W,W58B,W351W,W90B,W20B,8.5,67,67,51.25,0,8,5,2766
13,20,RUS,GM,shimastream,Aleksandr Shimanov,2956,W286W,W168B,D348W,L82B,W397W,W93B,W35W,W351B,W33B,W6W,L1B,8.5,66,69,50.25,0,8,4,2824
14,17,VNM,GM,crescentmoon2411,Nguyen Ngoc Truong Son,3010,W97B,L373W,W248B,W311W,D394B,W84W,W18B,W44W,L3B,W47W,W39B,8.5,65,67,51.75,0,8,4,2764
15,57,UZB,FM,Zohid6,Mukhammadzokhid Suyarov,2706,W196W,W405B,L149B,W413W,W60B,L347B,W376W,W59W,W62B,W24W,D8B,8.5,61,64,48.25,0,8,3,2683
16,16,RUS,GM,BillieKimbah,Maxim Matlakov,3042,L83W,L167B,W318W,W105B,W307B,W70W,W372W,W55B,W66W,D31B,W35W,8.5,61,62.5,46.75,0,8,3,2642
17,203,IND,GM,viditchess,Vidit Gujrathi,3077,U--,W240B,W227W,W379B,W218W,D18B,W40W,W32W,W345B,L3W,W31B,8.5,60,64,50.25,0,8,4,2801
18,79,RUS,IM,Eduard_Limonov,Yaroslav Remizov,2829,U--,W247B,W323W,W110W,W136B,D17W,L14W,W85B,W146W,W34B,W48B,8.5,60,61,48.25,0,8,5,2727
19,3,SVN,GM,Bigfish1995,Vladimir Fedoseev,3099,W132B,W372W,W56B,W116W,W345B,W11W,L1B,L341B,W22W,D8W,D9B,8,76,80,54.5,0,7,3,2885
20,131,MDG,IM,Fy_Rakotomaharo,Fy Antenaina Rakotomaharo,2725,W283W,W225B,D38B,W39W,D31W,W47B,W9B,L30W,W346B,W342B,L12W,8,72.5,75.5,51.5,0,7,5,2844
21,14,VNM,GM,wonderfultime,Tuan Minh Le,2989,W516W,W375B,W57W,W389B,W349W,D4W,D33B,W31B,L2W,L9B,W53W,8,69,69,42.75,0,7,3,2874
22,86,HUN,GM,Gabix_94,Gabor Nagy,2704,W336W,W83B,L4B,W112W,W149W,W369B,W342W,D345W,L19B,D38B,W70W,8,67,67,43,0,7,2,2809
23,11,SRB,GM,mishanick,Aleksei Sarana,3109,W135B,W376W,W69B,W390W,D32B,L8W,D81B,W128W,L25B,W114W,W56W,8,66.5,70,46.5,0,7,2,2778
24,33,ESP,GM,Fandorine,Maksim Chigaev,2931,W481B,W374W,W401B,W52W,L4B,W49W,W216W,L2B,W115W,L15B,W57W,8,66.5,67.5,40.5,0,8,2,2816
25,70,CHN,GM,ActorXu,Xu Yi,2717,W191B,W242W,W182B,L1W,D352B,D370W,W102B,W150W,W23W,L5B,W60B,8,65,69,45.75,0,7,4,2708
26,35,SVN,GM,Anton_Demchenko,Anton Demchenko,2914,W282B,D85W,W134B,W418W,W82W,L6B,L87B,W96W,W52W,D57B,W63W,8,64.5,67,45.25,0,7,2,2720
27,9,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3052,W99B,W114W,L55B,W424W,W41B,L349B,W232W,W348B,L9W,W125B,W64W,8,64,66.5,45.5,0,8,4,2715
28,62,IND,IM,swimmerchess,Siva Mahadevan,2792,W504B,W193W,L121B,W108W,D151B,D36W,W88W,L114B,W75B,W71W,W77B,8,63.5,63.5,45,0,7,3,2600
29,59,SRB,GM,Beca95,Aleksandar Indjic,2984,D221W,W154B,D165W,L70B,W380W,W413B,W60B,W159W,W109B,W30W,L5W,8,62,65,44,0,7,4,2628
30,30,CHL,GM,ViIIagra,Cristobal Henriquez,2935,W380W,W330B,L218W,W395B,W404W,W355W,W349B,W20B,L4W,L29B,W59W,8,57.5,58.5,37,0,8,4,2737
31,54,ESP,GM,Guachiney,Hipólito Asis Gargatagli,2882,W457B,W108W,W110B,D12W,D20B,W57W,W53B,L21W,W114B,D16W,L17W,7.5,73.5,75,46,0,6,4,2812
32,42,UZB,IM,PLAYER_2006_M,Mukhiddin Madaminov,2881,W161W,W120B,W368W,W62B,D23W,W7B,L6W,L17B,W350W,W82W,L11B,7.5,72.5,76.5,47,0,7,3,2852
33,7,CHN,GM,chesspanda123,Yu Yangyi,3077,W298B,W67W,W360B,L346W,W59B,W81W,D21W,W34B,L13W,L44B,W82W,7.5,69,72,46,0,7,4,2832
