Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,6,FRA,GM,LyonBeast,Maxime Vachier-Lagrave,3127,W119B,W299W,L42B,W32W,W48B,W50W,W3B,W262W,W6B,W13W,D5B,9.5,74.5,77.5,66,0,9,4,2873
2,15,WSM,GM,Bigfish1995,Vladimir Fedoseev,3064,W384W,W45B,W22W,D266B,L10W,W82B,W21W,W26B,D7B,W16W,W14B,9,74.5,74.5,59.25,0,8,4,2874
3,38,USA,GM,TigrVShlyape,Gata Kamsky,2970,W341B,W174W,W285B,W4W,D8B,D7W,L1W,W267B,W50W,W15B,W13B,9,71.5,73,55,0,8,5,2888
4,3,CHL,GM,nihalsarin,Nihal Sarin,3065,W329W,W67B,W46W,L3B,W87W,L25B,W277B,W63W,W39B,W10W,W17B,9,71,73,56.5,0,9,4,2807
5,5,USA,GM,FabianoCaruana,Fabiano Caruana,3125,W242W,W224B,W282W,W73B,L120W,W15W,D11B,W40B,W260W,W18B,D1W,9,66.5,68,53.5,0,8,4,2868
6,20,IRN,GM,amintabatabaei,Amin Tabatabaei,3037,W252B,W88W,W274B,W25W,W27B,W8W,D13W,W9B,L1W,D14W,D7B,8.5,77,77,55.25,0,7,4,2946
7,4,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3038,W126B,W244W,D34B,W81B,W40W,D3B,W35W,D13B,D2W,W9B,D6W,8.5,76.5,77.5,56.5,0,6,3,2888
8,2,USA,GM,DanielNaroditsky,Daniel Naroditsky,3134,W78B,W306W,W54B,W16B,D3W,L6B,L40W,W47B,W43W,W25W,W19B,8.5,75.5,78.5,58.5,0,8,5,2825
9,8,RUS,GM,dropstoneDP,David Paravyan,3046,W141B,W65W,W87B,W18W,W42B,D120B,W10W,L6W,W11B,L7W,W26B,8.5,74.5,79.5,59.75,0,8,5,2872
10,42,TUR,IM,ckgchess,Cem Kaan Gokerkan,2903,W178B,W237W,W132W,D29B,W2B,W264W,L9B,W263B,W30W,L4B,W33W,8.5,69,71,49.75,0,8,3,2902
11,30,INT,GM,Fandorine,Maksim Chigaev,2947,W235B,W128W,W286B,L267W,W300B,W272W,D5W,W28B,L9W,W69W,W29B,8.5,61.5,63.5,45.5,0,8,5,2782
12,49,CAN,IM,c63_amg,people know me,2854,W238W,W203B,W331W,L13B,W298W,L28B,W130W,W81B,D261B,W260W,W35W,8.5,55.5,57.5,38.75,0,8,2,2726
13,16,DEU,GM,Msb2,Matthias Bluebaum,3026,W189B,W56W,W287B,W12W,W267B,W14W,D6B,D7W,W25B,L1B,L3W,8,75.5,79.5,52.5,0,7,4,2904
14,1,USA,GM,Hikaru,Hikaru Nakamura,3286,W200W,W31B,W43W,W26B,W64W,L13B,W120W,D260B,W17W,D6B,L2W,8,74,77.5,53,0,7,2,2907
15,50,ARG,GM,platy3,Alan Pichot,2827,W106B,W315W,L225B,W95W,W45W,L5B,W80W,W53B,W41B,L3W,W51W,8,67,69.5,48.5,0,8,3,2702
