Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,USA,GM,Hikaru,Hikaru Nakamura,3286,W202B,W394W,W39B,W280W,W16B,W17W,W4W,D3B,W15W,D2B,W7W,10,75.5,76.5,67.25,0,9,3,2921
2,23,USA,GM,jefferyx,Jeffery Xiong,3002,W79B,W386W,W87B,D288W,W44B,D28B,W39W,W38B,W4W,D1W,W12B,9.5,73,74,62.75,0,8,5,2856
3,9,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3038,W426B,W51W,W41B,W272W,W271B,D15W,W19B,D1W,L12W,W269B,W9W,9,77.5,77.5,60,0,8,5,2891
4,6,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3021,W342W,W351B,W107W,W300B,W270W,W9W,L1B,W271W,L2B,W17W,W21W,9,70.5,72.5,53,0,9,2,2922
5,8,RUS,GM,dropstoneDP,David Paravyan,3046,W140W,D86B,W379W,W45B,W288W,W13W,L15B,W29B,D10W,W270B,W23W,9,70.5,72,56.75,0,8,3,2805
6,14,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3038,W184W,W89B,W276W,W62B,L15W,W283B,W280W,L10B,W38W,W271B,W20W,9,67,71,54.5,0,9,4,2814
7,18,RUS,GM,VladimirKramnik,Vladimir Kramnik,2987,W311W,D36B,W245W,W27B,L19W,W43B,W299B,W76W,W30W,W10B,L1B,8.5,71,72.5,50.75,0,8,4,2768
8,21,DEU,GM,rasmussvane,Rasmus Svane,2983,W115B,L27W,W55B,W72W,W302B,D299W,W65B,D18B,D64W,W33W,W37B,8.5,67,71,54,0,7,5,2671
9,27,RUS,GM,BillieKimbah,Maxim Matlakov,2986,W250B,W349W,W295B,W274W,W14W,L4B,W284W,W273B,W28W,D12B,L3B,8.5,66,67,44.75,0,8,3,2878
10,29,USA,GM,Antipov_Mikhail_Al,Mikhail Antipov,2937,W434B,L50W,W147B,W349W,W66B,W81W,W158B,W6W,D5B,L7W,W28B,8.5,65.5,65.5,45.5,0,8,5,2817
11,40,CZE,GM,Alexander_Moskalenko,Alexander Moskalenko,2895,W378W,W106B,W327W,D18W,D158B,W274W,L40B,W85W,D14B,W27W,W32B,8.5,64.5,66,48.25,0,7,2,2810
12,39,AZE,GM,vugarrasulov,Vugar Rasulov,2890,W253B,L132W,W395W,W361B,W57W,W52W,W21B,W40W,W3B,D9W,L2W,8.5,64,65,46.25,0,8,4,2773
13,33,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2901,W74B,W164W,W307B,W321W,D269W,L5B,D88W,W287W,D37B,W64B,W30W,8.5,63.5,66.5,47.25,0,7,3,2715
14,10,DEU,GM,Msb2,Matthias Bluebaum,3026,W369W,W380B,W81W,W317W,L9B,D31W,W68B,D104B,D11W,W62B,W15W,8.5,63,64.5,45,0,7,3,2797
15,28,PER,IM,MITerryble,Renato Terry,2946,W146W,W396B,W66W,W85W,W6B,D3B,W5W,W30B,L1B,D28W,L14B,8,78,79,52.25,0,7,3,2916
16,20,IND,GM,vi_pranav,Pranav V,2961,W137W,W72B,W42W,W49B,L1W,L39B,W48W,L274B,W54W,W51B,W59W,8,71.5,76.5,53.5,0,8,3,2705
17,22,USA,IM,0gZPanda,Anthony He,2981,W80W,W73B,W242W,W279B,W273W,L1B,L38W,W277B,W39W,L4B,W53W,8,69.5,71.5,45.5,0,8,3,2826
18,4,CHL,GM,nihalsarin,Nihal Sarin,3065,W428W,W135B,W64W,D11B,W29B,W178W,L30B,D8W,L25B,W75W,W39W,8,69.5,69.5,45.5,0,7,2,2814
19,60,LVA,GM,1stSecond,Nikita Meshkovs,2775,D209W,W208B,W113W,W301B,W7B,W269W,L3W,D32B,L21B,W89W,W47W,8,66,69.5,47,0,7,3,2753
