Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,9,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3000,W102B,W46W,W266B,W202W,W244B,L40W,W243W,W11B,W37W,D5B,W7W,9.5,65.5,68.5,57,0,9,4,2904
2,7,IND,GM,GHANDEEVAM2003,Arjun Erigaisi,3086,W92B,W47W,D51B,W34W,W8B,D29B,W13W,W25B,W40W,D7B,D4W,9,76,81.5,66,0,7,3,2932
3,8,USA,GM,FabianoCaruana,Fabiano Caruana,3125,W70W,L21B,W92W,W78B,W24W,W257B,W244W,L7B,W18W,W16B,W14W,9,70,74,58,0,9,3,2840
4,16,DEU,GM,rasmussvane,Rasmus Svane,2972,W124W,D59B,W93B,W51W,D32B,W36W,W245B,D30W,W21B,W29W,D2B,9,68,73,58.25,0,7,3,2863
5,11,DEU,GM,Msb2,Matthias Bluebaum,3026,L115B,W117W,W70B,W75W,W203B,W238W,D54B,W237W,W8B,D1W,W25B,9,67.5,70.5,57.5,0,8,4,2794
6,6,RUS,GM,Duhless,Daniil Dubov,3096,W119W,W33B,L245W,W96W,W273B,D242B,W51W,D19B,W11W,W12B,W10B,9,66,69,57.5,0,8,4,2846
7,18,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3038,L265W,W100B,W102W,W288W,W45B,W22W,W23B,W3W,W29B,D2W,L1B,8.5,71.5,73.5,55.5,0,8,4,2822
8,31,RUS,GM,VladimirKramnik,Vladimir Kramnik,2987,D268B,W77W,W281W,W21B,L2W,W41B,W57B,W239W,L5W,W27B,W29B,8.5,69.5,72,52.25,0,8,5,2786
9,20,KAZ,GM,Denis_Makhnyov,Denis Makhnev,2947,W53W,W289B,L56W,W72B,W264B,D57W,W60B,L21W,W64B,W22W,W23W,8.5,65,67,49.75,0,8,5,2710
10,10,BLR,GM,DenLaz,Denis Lazavik,3038,W80W,W261B,W22W,D238B,W19B,D30W,L11B,W36W,W15B,W37B,L6W,8,74,78,54.25,0,7,4,2891
11,28,ISR,GM,Nitzan_Steinberg,Nitzan Steinberg,2871,W142W,W61B,W273W,W58B,W14W,L25B,W10W,L1W,L6B,W44W,W45W,8,73.5,76.5,50.5,0,8,2,2846
12,17,IRN,GM,bardiya_Daneshvar,Bardiya Daneshvar,2938,W48B,W23W,W35B,L245B,W44W,W259W,D237B,W54W,D30B,L6W,W21W,8,70.5,74.5,53.5,0,7,2,2847
13,22,NLD,GM,joppie2,Jorden van Foreest,2945,W62W,W78B,L27W,W291B,W46W,W56B,L2B,W24W,W83W,L25B,W31W,8,70.5,72.5,48.5,0,8,3,2747
14,13,SRB,GM,mishanick,Aleksei Sarana,3016,W329B,W101W,W97B,W237W,L11B,W32W,L37B,W246W,W19W,W30B,L3B,8,69,70,46,0,8,3,2872
15,29,HUN,GM,MrTattaglia,Adam Kozak,2974,W247B,W69W,L31B,W83W,L23W,W194B,W79B,W32W,L10W,W39B,W50W,8,66.5,69.5,47,0,8,4,2695
16,14,IND,GM,vi_pranav,Pranav V,2964,W76W,L74B,W115W,W249B,W272W,L237B,W39W,W35B,W31W,L3W,W37B,8,66,69,47,0,8,3,2738
17,15,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3045,D98B,W267W,D96B,W69W,L38B,W94B,W73W,L31B,W239W,W26B,W34W,8,63.5,67,47.5,0,7,2,2649
18,25,USA,GM,TigrVShlyape,Gata Kamsky,2970,D267B,W98W,W268W,W55B,L30B,W91W,D246B,W45W,L3B,W33W,W42B,8,63,66.5,46.25,0,7,2,2721
19,33,CAN,GM,hansen,Eric Hansen,2852,W275B,W313W,W248B,D29B,L10W,W260B,W74W,D6W,L14B,W69W,W30W,8,63,64.5,40.5,0,7,3,2871
20,111,ESP,FM,Rutricks,Rubén Domingo Núñez,2551,W360B,L242B,L154W,W121B,D285W,W117B,W269W,W60W,D34B,W36W,W54B,8,52,52,38.25,0,7,4,2645
21,98,USA,GM,joshdaruca,Joshua Ruiz,2756,W319B,W3W,D279B,L8W,W67W,W34B,W52W,W9B,L4W,W54W,L12B,7.5,72,73.5,46.75,0,7,3,2884
22,67,CYM,GM,JSPrepz,Johan-Sebastian Christiansen,2802,W90W,W265B,L10B,W42W,W192W,L7B,W58W,D241B,W61W,L9B,W59W,7.5,67,70,42.25,0,7,1,2757
23,107,CUB,GM,rogapa,Roberto G Pantoja,2659,W205B,L12B,W314W,W129W,W15B,W256B,L7W,D95B,W107W,W238W,L9B,7.5,62,63.5,35.75,0,7,3,2770
24,86,COL,GM,TheBigBoss04,Jose Gabriel Cardoso,2797,W354B,W178W,W257B,L40W,L3B,W250W,W91B,L13B,W82W,D48B,W53W,7.5,61.5,61.5,34,0,7,3,2697
25,19,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3011,W320B,W325W,W293B,W56B,W256W,W11W,L40B,L2W,D238B,W13W,L5W,7.5,61,62,33.75,0,7,3,2877
26,78,COL,GM,Caracternin123,Santiago Avila Pavas,2749,W147B,W138W,L244W,W93B,D94W,L252B,W141B,W92W,W53B,L17W,W58B,7.5,56,60.5,40.25,0,7,5,2635
27,76,MNE,CM,Andrei_Skvortsov,Andrei Skvortsov,2738,W317B,W336W,W13B,L244B,L258W,W118W,D93B,W253W,W95B,L8W,W61W,7.5,54,55,34.75,0,7,3,2661
28,145,UGA,CM,jaskol95,Tomasz Jaskolka,2516,W229B,L266B,W330W,D246B,L60B,L49W,W180B,W103W,W56W,W97B,W57W,7.5,50.5,50.5,31,0,7,3,2612
29,1,USA,GM,Hikaru,Hikaru Nakamura,3286,W106B,W272W,W259B,D19W,W245B,D2W,W240B,W40W,L7W,L4B,L8W,7,70,73,38.5,0,6,4,2935
30,2,USA,GM,DanielNaroditsky,Daniel Naroditsky,3134,W362W,W321B,D36W,W73B,W18W,D10B,W242W,D4B,D12W,L14W,L19B,7,68,68,36,0,5,2,2895
31,84,ARG,FM,FaustinoOro,Faustino Oro,2752,W355B,W139W,W15W,W243B,L40B,L244W,W80B,W17W,L16B,W63W,L13B,7,66,66,38,0,7,3,2823
32,48,INT,FM,snowlord,Ivan Yeletsky,2869,W50B,W175W,W291B,D241W,D4W,L14B,W263W,L15B,W73W,L42W,W69B,7,64,66,35.75,0,6,3,2756
33,95,UKR,FM,FMVolodymyrSakun,Vladimir Sakun,2602,W306W,L6W,W85B,L94W,W81B,L53W,W99B,W80W,W247B,L18B,W82W,7,63.5,65.5,36.5,0,7,4,2610
34,56,USA,FM,TanitoluwaAps116,Tanitoluwa Adewumi,2627,W331B,W276W,D240B,L2B,W47W,L21W,W258B,W101W,D20W,W83B,L17B,7,63.5,64.5,33.25,0,6,3,2750
35,69,ESP,GM,Tartody,David Lariño Nieto,2745,W103W,W116B,L12W,W53W,L91B,W192W,W70B,L16W,L42B,W118B,W83W,7,62.5,65.5,37,0,7,3,2646
36,55,RUS,IM,MatthewG-p4p,Matvey Galchenko,2895,W156W,W192B,D30B,D193W,W58W,L4B,W122W,L10B,W79W,L20B,W75W,7,62.5,65.5,35.5,0,6,1,2715
37,36,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2944,L116W,W103B,W76W,W189B,W201B,W258W,W14W,W240B,L1B,L10W,L16W,7,62.5,65.5,35,0,7,4,2782
38,93,SVN,FM,js20000,Jan Subelj,2600,W296W,L240W,W116B,W155B,W17W,L243B,D53W,W71B,L54B,W62W,D43W,7,60,62,38.25,0,6,3,2714
39,125,IDN,GM,bocah_sakit,Novendra Priasmoro,2775,W125B,L202B,W111W,W290W,W66B,L54W,L16B,W91W,W84B,L15W,W76B,7,60,62,36.5,0,7,4,2718
40,30,RUS,GM,Krakozia,Denis Khismatullin,3017,W224W,W72B,W57W,W24B,W31W,W1B,W25W,L29B,L2B,U--,U--,7,60,60,44,0,7,3,2890
41,74,USA,CM,BeanScreen,Zachary Tanenbaum,2740,W361B,W278W,D242W,L52B,W77W,L8W,W108B,D42B,L63W,W126B,W72W,7,59,59,31.5,0,6,3,2670
42,146,CUB,GM,GMALMEIDA,Omar Quintana,2657,W338W,L245W,W209B,L22B,D107W,W283B,W97B,D41W,W35W,W32B,L18W,7,57,58,31.25,0,6,4,2706
43,60,CHN,NM,Abund,"Yuan, Qingyu",2705,W269B,W250W,L271W,L239B,W105W,L58B,D98W,W110B,W96W,W95W,D38B,7,56,59,36.75,0,6,2,2623
44,90,INT,GM,Aygehovit1992,Nikita Matinian,2747,W262B,W209W,L256B,W154W,L12B,L80W,W76B,W118W,W126W,L11B,W88B,7,56,58,32,0,7,3,2636
45,89,RUS,IM,AldokhinIvan,,2667,W337W,L193B,W299W,W138B,L7W,W115B,W139W,L18B,W70W,W52W,L11B,7,56,57,29.5,0,7,2,2636
46,97,POL,IM,Kildepiotr,Piotr Piesik,2608,W334W,L1B,W323W,W146W,L13B,L93B,D110W,D77B,W119W,W250B,W71B,7,56,57,28.25,0,6,2,2596
47,96,GRC,FM,AlexPapasimakopoulos,Alexandros Papasimakopoulos,2725,W367B,L2B,D316W,W284W,L34B,D99W,W81W,W250B,L48W,W91B,W70W,7,55,55,28.5,0,6,3,2600
48,163,UKR,IM,zajka-molotok,Yuliia Osmak,2509,L12W,W205B,W222W,L255B,W211B,L64W,W120B,W261W,W47B,D24W,D52B,7,53,54,28.5,0,6,4,2735
49,53,POL,GM,Byniolus,Zbigniew Pakleza,2779,L278W,W361B,L91W,W336B,L265W,W28B,W119W,L126B,W102W,W122B,W79W,7,47.5,47.5,30,0,7,4,2520
50,194,NLD,IM,SuperJesus88,Jesus Dominguez,2389,L32W,W219B,L289W,L297B,W167W,W305B,W194W,W249B,W51W,W64B,L15B,7,46,47,28,0,7,4,2624
51,61,IRN,FM,artin10862,Artin Ashraf,2802,W117W,W239B,D2W,L4B,W141W,W59B,L6B,L69W,L50B,W98W,W92B,6.5,69,73.5,38,0,6,3,2715
52,27,RUS,GM,alexrustemov,Alexander Rustemov,2861,W71B,W249W,D55B,W41W,L240B,W97W,L21B,W74W,D57W,L45B,D48W,6.5,64.5,69.5,39.5,0,5,1,2731
53,167,RUS,IM,Sergey85Rodchenkov,Sergey Rodchenkov,2592,L9B,W360W,W324W,L35B,W104W,W33B,D38B,W66W,L26W,W55B,L24B,6.5,64,64,30,0,6,2,2748
54,34,INT,GM,Fandorine,Maksim Chigaev,2947,W85W,L288B,W105W,W292B,W200W,W39B,D5W,L12B,W38W,L21B,L20W,6.5,63,65,35,0,6,2,2713
55,81,UKR,FM,Ol_Bilych,Olexiy Bilych,2780,W84W,W111B,D52W,L18W,L65B,W62B,L71W,W142B,W141B,L53W,W110B,6.5,61.5,66,35.75,0,6,5,2582
56,73,CAN,GM,attack2mateU,Razvan Preotu,2728,W332W,W301B,W9B,L25W,W71B,L13W,D92B,L61W,L28B,W254B,W99W,6.5,61.5,62.5,30.25,0,6,4,2665
57,82,USA,IM,Coachpoker,,2781,W333B,W270W,L40B,W247W,W193B,D9B,L8W,W93W,D52B,D58W,L28B,6.5,61.5,62.5,28.75,0,5,2,2671
58,141,RUS,FM,Alexei_Gubajdullin,,2703,W215B,W274B,W255W,L11W,L36B,W43W,L22B,W139W,W248B,D57B,L26W,6.5,60,61.5,28.25,0,6,3,2727
59,106,CUB,IM,chess94cu,Michel Alejandro Diaz Perez,2674,W184W,D4W,W158B,W252B,L242W,L51W,W267B,L107B,W94W,W65B,L22B,6.5,57.5,60.5,31.5,0,6,4,2684
60,62,ROU,IM,jacky72,Mihnea Costachi,2882,L138B,W317W,D81B,W316B,W28W,W269B,L9W,L20B,W92W,L239B,W108W,6.5,57,58.5,28,0,6,2,2571
61,116,GEO,WGM,Meri-Arabidze,Meri Arabidze,2602,W195W,L11W,L138B,D214W,W315W,W77B,W94W,W56B,L22B,W107W,L27B,6.5,55.5,57,28.75,0,6,2,2614
