Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,USA,GM,Hikaru,Hikaru Nakamura,3303,W347B,W297W,W278B,W187W,W11B,L3W,W2B,W9W,W8B,W10W,D5B,9.5,69,69,55.5,0,9,5,2948
2,19,USA,GM,jefferyx,Jeffery Xiong,2985,D199B,W74W,W315W,W72B,W33W,W245B,L1W,W57B,W23B,W36W,W3B,9.5,65.5,67,56.25,0,9,5,2827
3,8,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3101,W104W,W56B,W32W,W37B,W248W,W1B,W235W,W4B,D10W,D5B,L2W,9,77,81,62.75,0,8,4,2940
4,18,ARM,GM,Njal28,Aram Hakobyan,3041,W205W,W39B,W127W,W244B,W233W,D23B,W24W,L3W,W231B,W25B,D8W,9,69,71,54,0,8,4,2854
5,10,DEU,GM,Msb2,Matthias Bluebaum,3052,D138W,W112B,W103W,D34B,W260W,W71B,W65B,W14W,W230B,D3W,D1W,9,68,71.5,56.5,0,7,4,2828
6,49,RUS,FM,German_Bazeev,German Bazeev,2926,W135W,W325B,W113W,L11B,W174W,L10B,W249W,W121B,W43W,W26B,W16B,9,61.5,62.5,45.5,0,9,4,2777
7,7,IND,GM,vi_pranav,Pranav V,3035,W240B,W118W,W236B,W14W,L24B,W54W,L13B,W31W,W22B,D12W,W25B,8.5,71.5,76.5,56.75,0,8,4,2810
8,15,AZE,GM,TRadjabov,Teimour Radjabov,3005,W362B,W40W,W283B,D13W,W239B,W27W,D230B,W233W,L1W,W17B,D4B,8.5,69.5,69.5,48,0,7,4,2872
9,16,NLD,GM,joppie2,Jorden van Foreest,3030,W94W,W66B,L248W,W306B,W258W,W31B,W28W,L1B,W14B,W19W,D11B,8.5,68.5,70.5,52.75,0,8,4,2778
10,4,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3090,W282W,D315B,W313W,W246B,D13B,W6W,W20B,W11W,D3B,L1B,W24W,8.5,68,69.5,50.75,0,7,2,2888
11,21,NOR,GM,AryanTari,Aryan Tari,2949,W182B,W319W,W291B,W6W,L1W,W32B,W34W,L10B,W234B,W23W,D9W,8.5,68,69,46.75,0,8,4,2867
12,23,RUS,GM,dropstoneDP,David Paravyan,3068,W255B,W80W,L260B,W299W,W79B,L28W,W38B,W34B,W233W,D7B,W36W,8.5,62.5,64.5,49.25,0,8,4,2732
13,45,CYM,GM,JSPrepz,Johan-Sebastian Christiansen,2852,W140B,W45W,W261B,D8B,D10W,W38B,W7W,L230W,W232B,L16W,W35B,8,72,75.5,52,0,7,5,2861
14,37,UKR,GM,eljanov,Pavel Eljanov,2875,W99B,W264W,W77W,L7B,W76B,W35W,W232B,L5B,L9W,W233B,W51W,8,69.5,72.5,46.5,0,8,4,2796
15,20,USA,GM,TigrVShlyape,Gata Kamsky,2934,W363W,L78B,W61W,W180B,W42W,W129B,D23W,W33B,L25W,D21B,W37W,8,64.5,64.5,43.25,0,7,3,2735
16,14,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3089,W117W,W249B,W129W,D231B,L73W,D164B,W42W,W60B,W37W,W13B,L6W,8,64,68,47.75,0,7,3,2767
17,29,HRV,GM,Elsa167,Leon Livaic,2844,W116B,W270W,W82B,L248B,W115W,L34W,W58B,W28B,W40W,L8W,W31B,8,63.5,66.5,47,0,8,5,2690
18,43,RUS,GM,alexrustemov,Alexander Rustemov,2831,W200B,W75W,D134W,W47B,L23W,L72B,W92W,D241B,W58W,W82W,W43B,8,61.5,63.5,45.25,0,7,3,2662
19,28,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2963,W97W,L77B,W91W,L264B,W182W,W119B,W82W,W50B,W46W,L9B,W41W,8,61,64,46.5,0,8,2,2641
20,34,CHL,GM,K_A_S_T_O_R,Rodrigo Vasquez,2911,W203W,W326B,W254B,L235W,W58B,W127W,L10W,W72B,L36B,W33W,W32B,8,58.5,59.5,38.5,0,8,5,2789
21,30,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2872,W224W,W269B,W76W,D260B,L245W,L41B,W35W,W247B,W61W,D15W,W50B,8,57,57,39.75,0,7,3,2650
