Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,7,ARM,GM,Njal28,Aram Hakobyan,3041,W130W,W318B,W51W,L253W,W46B,W13W,W18B,W7W,W5B,D2B,W3W,9.5,78,80.5,68.75,0,9,4,2923
2,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3282,W334W,W53B,W60W,W298B,W7W,W253B,W40B,W8W,L3B,D1W,W9B,9.5,74.5,76.5,62.75,0,9,5,2921
3,4,RUS,GM,dropstoneDP,David Paravyan,3068,W95B,W111W,W335B,W254W,L21B,W265W,W264B,W9W,W2W,W4B,L1B,9,72.5,74.5,57.5,0,9,4,2942
4,16,MEX,GM,Jospem,Jose Eduardo Martinez Alcantara,3005,W403B,W80W,L42B,W267W,W57W,W186B,W43W,W107W,W6B,L3W,W29W,9,67.5,67.5,51.5,0,9,3,2873
5,13,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3101,W306W,W304B,W281W,W297B,L253W,W10B,W156W,W40B,L1W,W254B,W18W,9,62,65,48.5,0,9,5,2846
6,8,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3067,L82B,W316W,W378B,W343W,W44W,W256B,W110W,W257B,L4W,W253B,W11W,9,60.5,61.5,46.5,0,9,4,2794
7,21,USA,GM,OparinGrigoriy,Grigoriy Oparin,3007,W336W,W66B,W35W,W41W,L2B,W283W,W24B,L1B,W17W,D10B,W32B,8.5,75.5,77.5,54.25,0,8,3,2868
8,9,SRB,GM,mishanick,Aleksei Sarana,3137,W349W,W84B,W301W,W13B,D11B,W25W,W21B,L2B,W22W,L9W,W26B,8.5,73.5,75.5,53.25,0,8,4,2897
9,41,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2963,W323W,W101B,W271W,W16B,D269W,W261W,W12B,L3B,W29W,W8B,L2W,8.5,71.5,74,53.25,0,8,4,3003
10,52,TJK,GM,mitrabhaa,Mitrabha Guha,2904,W137B,W76W,W339B,L270W,W288B,L5W,W49B,W37W,W16B,D7W,W24W,8.5,67.5,69.5,51.75,0,8,5,2781
11,30,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2872,W379B,W390W,W131B,W46B,D8W,L12W,W59B,W262W,W27B,W26W,L6B,8.5,66,67,45.25,0,8,5,2820
12,11,USA,GM,SpeedofLight0,Andrew Hong,3012,W378W,W381B,W28W,W256B,D257W,W11B,L9W,L26B,W262B,W59W,W22B,8.5,65,66,47,0,8,5,2827
13,45,RUS,FM,Bauman_Guy,Konstantin Popov,2874,W105W,W288B,W77W,L8W,W67B,L1B,W72W,D70B,W33W,W45B,D14W,8,72.5,76.5,51.25,0,7,3,2774
14,6,INT,GM,FairChess_on_YouTube,Dmitry Andreikin,3090,W85B,W94W,W27B,W279W,W23B,L40W,D260B,L22W,W68B,W38W,D13B,8,69,73,51.75,0,7,4,2814
15,10,USA,IM,0gZPanda,Anthony He,2991,W117B,W308W,L41B,W49W,W35B,L43W,L70B,W50W,W83B,W66W,W40B,8,67,70,49.5,0,8,4,2672
16,2,USA,GM,Hikaru,Hikaru Nakamura,3303,W149B,W319W,W186B,L9W,L156B,W50W,W87B,W25B,L10W,W256W,W44B,8,65,67.5,45.5,0,8,5,2741
17,67,POL,IM,Nor1lsk,Kuzmicz Krystian,2758,W78W,L63B,W379W,W144W,W128B,L255W,W288W,W85B,L7B,W68W,W48B,8,61.5,62.5,41,0,8,3,2630
18,25,AZE,GM,vugarrasulov,Vugar Rasulov,2948,W342W,L222B,W120W,W90B,W299W,W284B,L1W,W258B,W35W,W19B,L5B,8,60.5,62.5,42,0,8,4,2715
19,100,CAN,IM,MMSANCHEZ,Max Gedajlovic,2695,W128B,W142W,L298W,W327B,W31W,L260B,W96B,W265W,W23B,L18W,W43W,8,59.5,62,45.5,0,8,4,2768
20,31,TZA,GM,nihalsarin,Nihal Sarin,3179,U--,W242B,W135B,W280W,L281W,D267B,W118W,W62B,W25W,D27W,W42B,8,52,52,41.75,0,7,4,2660
21,26,USA,GM,TigrVShlyape,Gata Kamsky,2934,W141B,W106W,W259B,W42W,W3W,D29B,L8W,D254B,L24B,D30W,W70W,7.5,72.5,77.5,50.5,0,6,2,2847
22,34,ARM,GM,Hrant_ChessMood,Hrant Melkumyan,2916,W353B,W267W,W86B,L25B,D271W,W62B,W74W,W14B,L8B,W28W,L12W,7.5,68.5,70.5,43.75,0,7,4,2783
23,29,ESP,GM,Fandorine,Maksim Chigaev,2963,W89W,W374B,W258W,W44B,L14W,D48B,D45W,W266B,L19W,W57W,D35B,7.5,68.5,69.5,42.75,0,6,3,2723
24,60,IRN,IM,AradNazari,Arad Nazari,2597,L327B,W98W,W141B,W63W,W34B,W276B,L7W,W92B,W21W,D32W,L10B,7.5,67,69.5,46.25,0,7,4,2725
25,99,ARM,IM,Druid24,Vahe Danielyan,2712,W176W,W190B,W265B,W22W,W264W,L8B,D255B,L16W,L20B,W65W,W71B,7.5,65.5,69,41.25,0,7,3,2857
26,35,IND,GM,Harsha_Bharathakoti,Harsha Bharathakoti,2920,W307W,W228B,D59W,W266W,L261B,W80B,W48W,W12W,W255B,L11B,L8W,7.5,65,67,41.25,0,7,3,2825
27,59,NLD,GM,kleinebeer98,Thomas Beerdsen,2852,W385W,W112B,L14W,W76B,W114W,D270B,W261B,W260W,L11W,D20B,D36W,7.5,65,66,39.5,0,6,3,2822
28,68,TUR,IM,DonkyDonkyDonkey,Eray Kilic,2739,W116B,W375W,L12B,D112W,L289B,W81W,W73W,W267B,W39W,L22B,W67B,7.5,62.5,63.5,40.75,0,7,3,2644
29,3,USA,GM,DanielNaroditsky,Daniel Naroditsky,3208,W162W,D88B,W348W,W322W,W277B,D21W,D257B,W253W,L9B,W44W,L4B,7.5,62,64,36.75,0,6,1,2839
30,78,ESP,GM,PepeCuenca,Jose Fernando Cuenca,2681,D160B,D129W,L92B,W98W,W103B,L63W,W89B,W175B,W54W,D21B,W74W,7.5,61,65,44,0,6,3,2555
31,32,CAN,GM,hansen,Eric Hansen,2925,W291B,W275W,W45B,L40W,L19B,L66W,W292B,W288W,W56B,W86W,D37W,7.5,61,64.5,39.25,0,7,4,2634
32,22,NLD,GM,GMBenjaminBok,Benjamin Bok,2951,D397B,W305W,W33B,W303W,W59B,D156W,L107B,W259B,W40W,D24B,L7W,7.5,60,60.5,39.5,0,6,3,2774
33,94,BRA,GM,QuintilianoR,Renato Quintiliano,2758,D159B,W214W,L32W,D151B,W141W,W130B,D129W,W87W,L13B,W75W,W61B,7.5,59,61.5,38.75,0,6,2,2600
34,177,CAN,CM,reevecanada,Aaron Mendes,2627,L142B,W185W,W145B,W346B,L24W,W57B,L258W,W284B,D113W,W79W,W59B,7.5,57,59,37.75,0,7,5,2581
35,81,RUS,FM,sofaceindisguise,Dmitry Tatarinov,2771,W173W,W329B,L7B,W334W,L15W,W311B,W175W,W264W,L18B,W97B,D23W,7.5,56.5,58.5,30.25,0,7,3,2741
36,137,PER,IM,GianmarcoVaR,Gianmarco Leiva,2711,W428W,L110W,L146B,W329W,W205B,W298W,W283B,W60W,L254W,W258B,D27B,7.5,50,50,28.75,0,7,3,2688
37,110,AUS,FM,SlipperySpeedster,Sravan Renjith,2689,L223B,W140W,L327B,W133W,W353B,W305W,W279W,L10B,W150W,W52W,D31B,7.5,49.5,51.5,34.75,0,7,1,2600
38,66,RUS,FM,Iball95,Igor Vakhlamov,2784,W300B,L340W,W89B,W339W,D292B,D280W,D83W,W157B,W88W,L14B,W66B,7.5,49.5,51.5,34.75,0,6,4,2609
39,89,UKR,FM,FMVolodymyrSakun,Vladimir Sakun,2519,L337W,D139B,W220W,L69B,W231W,W199B,W294W,W129B,L28B,W113W,W60W,7.5,47,48.5,30,0,7,2,2525
40,90,INT,FM,Alexei_Gubajdullin,Alexei Gubajdullin,2616,W139B,W177W,W110B,W31B,W270W,W14B,L2W,L5W,L32B,W49W,L15W,7,71.5,75.5,41.5,0,7,4,2914
41,64,POL,GM,Byniolus,Zbigniew Pakleza,2818,W244B,W82W,W15W,L7B,L92W,L83B,W117W,W91B,L97W,W135B,W69W,7,63.5,63.5,37,0,7,3,2637
42,76,GEO,IM,GaiozNigalidze,Gaioz Nigalidze,2700,W405B,W119W,W4W,L21B,L107B,D290W,W162B,W65B,D48W,W94B,L20W,7,63.5,63.5,36.75,0,6,4,2740
43,49,SRB,GM,Mikhail_Bryakin,Mikhail Bryakin,2816,W143W,W296B,W340W,L269B,W73W,W15B,L4B,L68W,W106B,W84W,L19B,7,63,65,37,0,7,3,2730
44,77,DNK,IM,JoakimVonAnd,Filip Boe Olsen,2627,W183W,W205B,W276W,L23W,L6B,W47W,W289B,W150B,W257W,L29B,L16W,7,62,65,33,0,7,3,2820
45,91,GBR,IM,CheckThis4,Richard Pert,2694,W133W,W152B,L31W,D85B,W294W,W292W,D23B,D110B,W61W,L13W,D50B,7,61.5,65,36.5,0,5,1,2677
46,83,USA,IM,GothamChess,Levy Rozman,2747,W226W,W179B,W338B,L11W,L1W,W114B,L92W,L47B,W104W,W96B,W108B,7,60.5,62.5,31.5,0,7,5,2668
47,164,UKR,IM,zajka-molotok,Yuliia Osmak,2494,W171B,L256W,W115B,L60B,W211W,L44B,W155W,W46W,L259B,W140B,W84W,7,59,62,36,0,7,3,2589
48,168,UKR,IM,ValeriyGrinev,Valeriy Grinev,2545,W351W,L297W,W121B,W335W,W64B,D23W,L26B,W271W,D42B,W259W,L17W,7,57.5,59.5,33.75,0,6,2,2738
49,134,RUS,FM,GoltsevDmitry2000,Goltsev Dmitry,2846,W369B,L277B,W102W,L15B,W354W,W136B,L10W,W104W,W268B,L40B,W110W,7,57,58.5,31,0,7,3,2701
50,266,HUN,FM,Kombinator01,Dávid Haszon De,2458,L372B,W219W,W390B,D62W,W112B,L16B,W77W,L15B,W118W,W88B,D45W,7,56,57,33.25,0,6,3,2709
51,61,USA,GM,KaydenTroffChess,Kayden Troff,2846,W404W,W144B,L1B,L175W,L306B,W146W,L130B,W161W,W124B,W99W,W106B,7,53.5,53.5,32,0,7,3,2550
52,63,FRA,GM,cassoulet,Jonathan Dourérassou,2770,L119W,L292B,W138W,W173B,L130W,W316B,W103W,W289B,W92W,L37B,W97W,7,52.5,55.5,34,0,7,3,2502
53,103,POL,FM,djano,Dawid Janaszak,2709,W172W,L2W,W313B,D294W,D143B,L135W,W305B,L114B,W95W,W130B,W91W,7,52.5,55.5,31.25,0,6,3,2574
54,163,TUR,FM,ozates,Tuna Özateş,2640,L190W,W240B,L81W,W310B,L115W,W133B,W136W,W131W,L30B,W132B,W94W,7,51.5,51.5,29,0,7,4,2445
55,125,UKR,IM,Zavgorodniy_Sergiy,Sergiy Zavgorodniy,2606,W207W,L270W,D122B,L143W,L132B,W142B,D160W,W173B,W89W,W129B,W86B,7,50.5,53.5,34,0,6,4,2484
56,106,CHL,IM,Mesa_1,Fernando Valenzuela,2572,D214B,D159W,L93B,L357B,W332W,W206W,W314B,W96W,L31W,W82B,W85W,7,47,49,30,0,6,2,2487
57,6,MNG,IM,Agibileg,Uurtsaikh Agibileg,2759,U--,W417B,W227W,W336W,L4B,L34W,W307B,W285W,W85W,L23B,W109W,7,47,47,23,0,7,2,2624
