Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3313,W185B,W87W,W78B,D28W,W16B,W23W,L10W,W36B,W15W,W5B,W6W,9.5,82,88,75,0,9,5,2915
2,11,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W183B,W69W,W75B,W503W,W34W,W13B,W12W,L6B,W33W,W10W,D3B,9.5,81.5,85.5,71.75,0,9,3,2916
3,24,AZE,GM,Azerichess,Shakhriyar Mamedyarov,3030,W148W,W362B,W88W,W245B,W45W,D9B,W14B,W19W,D6W,W18B,D2W,9.5,77.5,81,67.25,0,8,4,2953
4,3,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W360B,D572W,W619W,W557B,W28W,W47B,W472W,D10B,W8W,D6B,W14W,9.5,65.5,67.5,57.25,0,8,3,2874
5,17,INT,GM,artooon,Pranesh M,3071,W216B,W77W,W30B,W31W,D43B,W72W,W9W,D7B,W34W,L1W,W22B,9,81,86.5,68.75,0,8,3,2942
6,21,SRB,GM,mishanick,Aleksei Sarana,3038,W137B,W151W,W544B,W537W,W46B,W20B,W18W,W2W,D3B,D4W,L1B,9,77,80,61,0,8,4,2954
7,7,UZB,GM,Javokhir_Sindarov05,Javokhir Sindarov,3126,W174B,W506W,W608B,W162W,W11W,L12B,W20W,D5W,W52B,W459B,D9W,9,75,77,59,0,8,4,2932
8,23,IND,GM,viditchess,Vidit Gujrathi,3013,W677B,W49W,L65B,W97W,W176B,W468W,W45B,W22W,L4B,W25W,W20B,9,74.5,75.5,59,0,9,4,2805
9,2,USA,GM,Hikaru,Hikaru Nakamura,3276,W235W,W480B,W146W,W57W,W489B,D3W,L5B,W38W,W463B,W19W,D7B,9,74,78.5,60.25,0,8,3,2936
10,13,RUS,GM,dropstoneDP,David Paravyan,2992,D300B,W384W,W200W,W150B,W516W,W43W,W1B,D4W,W81W,L2B,W33B,9,70.5,73.5,57,0,8,3,2905
11,46,RUS,IM,MatthewG-p4p,Matvey Galchenko,2944,W331W,W155B,W281W,W65W,L7B,L146B,W506W,W53B,W70W,W35B,W18W,9,67.5,71.5,56.5,0,9,3,2791
12,31,CHN,GM,xxysoul6,Xu Xiangyu,2990,W701B,W442W,W545B,W486W,W24B,W7W,L2B,W461W,L18W,W460B,W26B,9,65,65,47.5,0,9,5,2873
13,32,NOR,GM,AryanTari,Aryan Tari,2977,W675W,W90B,W592W,W546B,W481B,L2W,D134B,D35W,W147B,W31W,W24B,9,63,64,47.25,0,8,5,2797
14,8,DEU,GM,Msb2,Matthias Bluebaum,3112,W202W,D200B,W112W,W502B,W56W,W474B,L3W,W43B,W57W,W21B,L4B,8.5,72.5,76.5,54.75,0,8,4,2847
15,29,UZB,GM,Shield12,Shamsiddin Vokhidov,2941,W247B,D112W,W210B,W517B,W51W,L21W,W27B,W134W,L1B,W45W,W43W,8.5,71.5,75,54.25,0,8,4,2807
16,72,INT,FM,BardArtem,Artem Bardyk,2835,W141B,D224W,W92B,W568W,L1W,W200B,W211W,D40W,D71B,W68B,W59W,8.5,69,71.5,51.75,0,7,4,2755
17,71,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2912,W399W,W223B,L83W,W478B,W249W,W151B,L467B,D120W,W212B,W71W,W52B,8.5,61.5,64.5,48.25,0,8,5,2713
18,10,MEX,GM,Jospem,Jose Martinez,3073,W736W,W207B,W95W,W25B,W33B,W64W,L6B,W23W,W12B,L3W,L11B,8,80,80,52.5,0,8,4,2900
19,9,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W574B,W50W,D150B,W465W,W27B,W67W,W21B,L3B,W462W,L9B,D32W,8,76,78.5,53,0,7,3,2884
20,74,TUR,GM,SantoBlue,Vahap Sanal,2963,W441B,W132W,W55W,W44B,W467B,L6W,L7B,W253W,W75W,W74B,L8W,8,73.5,74.5,47.5,0,8,4,2873
21,197,POL,IM,Kildepiotr,Piotr Piesik,2735,W512B,W205W,D47W,W52B,W54W,W15B,L19W,W473W,W464B,L14W,D29B,8,73,77,52.75,0,7,4,2900
22,49,ESP,GM,platy3,Alan Pichot,3018,L129B,W763W,W148B,W511B,W86W,W82W,W55B,L8B,W37W,W51B,L5W,8,71.5,71.5,47,0,8,4,2727
23,43,FRA,IM,scarabee43,Marco Materia,2909,W257B,W85W,W86B,W483W,W206W,L1B,W70W,L18B,L26W,W77B,W78W,8,71,76,50.5,0,8,3,2815
24,114,INT,FM,bascheyaro,Roman Yanchenko,2816,W145B,W370W,W476B,W543B,L12W,W48W,L64B,W77W,W40B,W81W,L13W,8,69.5,72.5,47.5,0,8,4,2859
25,84,IRN,IM,AradNazari,Arad Nazari,2821,W514B,W114W,W591B,L18W,L79B,W99W,W69B,W103W,W66B,L8B,W82W,8,69.5,71.5,47.5,0,8,4,2716
26,127,USA,IM,GothamChess,Levy Rozman,2835,W128W,W648B,W298W,L64W,L66B,W114W,W276B,W67W,W23B,W34B,L12W,8,68.5,69.5,46.5,0,8,4,2742
27,82,USA,IM,Yaacovn,Yaacov Norowitz,2950,W194B,W527W,D110B,W138W,L19W,W154B,L15W,D123W,W90B,W167W,W74B,8,68,71.5,48.5,0,7,4,2705
28,67,RUS,GM,alexrustemov,Alexander Rustemov,2852,W678W,W99B,W386W,D1B,L4B,D480W,W87W,W146B,L74W,W151W,W103B,8,67,68,44.25,0,7,3,2780
