Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,2,IRN,GM,Parhamov,Parham Maghsoodloo,3095,W723W,W258B,W609W,W539B,W92B,W12W,L11B,W3W,W8B,W2W,W4B,10,71.5,71.5,63,0,10,5,2993
2,1,USA,GM,Hikaru,Hikaru Nakamura,3295,W621B,W82W,W157B,W46W,D79B,W57W,W77B,W11W,W15W,L1B,W5W,9.5,78,80,66.5,0,9,3,2985
3,7,SRB,GM,mishanick,Aleksei Sarana,3101,W165B,W373W,W527B,W43W,W32B,W24W,D15B,L1B,W16W,W44B,W21W,9.5,76.5,80.5,66.25,0,9,4,2934
4,9,DEU,GM,Msb2,Matthias Bluebaum,3124,W234B,W218W,W26B,W525W,D44B,W16W,W25W,D5B,W91W,W13B,L1W,9,77.5,81.5,63.25,0,8,3,2912
5,6,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3081,W106W,W623B,W526W,W80B,W521W,D25B,W27W,D4W,W6B,W24W,L2B,9,73.5,75.5,57.5,0,8,3,2959
6,38,UZB,GM,Shield12,Shamsiddin Vokhidov,2990,D255W,D83B,W676B,W101W,W102B,W528W,W121B,W77W,L5W,W76B,W24B,9,68,69,54,0,8,5,2792
7,32,SWE,GM,Grandelicious,Nils Grandelius,3001,W305W,W594B,W89W,W415B,W163W,L77B,W48W,L13B,W104W,W86W,W29B,9,65.5,68,52.5,0,9,3,2811
8,12,RUS,GM,dropstoneDP,David Paravyan,3097,W330W,L176B,W451B,W134W,W501B,W494W,W493B,W30W,L1W,W85B,W19W,9,65.5,67,51,0,9,4,2810
9,5,RUS,GM,Andreikka,Andrey Esipenko,3100,W395B,W573W,L515B,W123W,W250B,W503W,W483W,W81B,L13W,W31W,W11B,9,63.5,66.5,53.5,0,9,4,2841
10,58,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2924,W257B,L120W,W546B,L507W,W106B,W251W,W248B,W95W,W78B,W77W,W33B,9,62.5,66,54.5,0,9,6,2706
11,8,NLD,GM,GMBenjaminBok,Benjamin Bok,3068,W724W,W158B,W121W,W49B,W122W,W33B,W1W,L2B,D19W,W483B,L9W,8.5,79,79,56.25,0,8,4,2957
12,17,UKR,GM,igorkovalenko,Igor Kovalenko,3012,W582B,W256W,W156B,W56W,W13B,L1B,D80W,W61W,D27B,D20W,W483W,8.5,75.5,78.5,56.75,0,7,3,2878
