Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,10,VNM,GM,wonderfultime,Tuan Minh Le,3088,W540W,W63B,W215W,W487B,W29W,W485B,W66W,W13W,W15B,W4W,D3B,10.5,74.5,77.5,72.75,0,10,4,2953
2,11,MEX,GM,Jospem,Jose Martinez,3073,W130B,W74W,D491B,L52W,W205B,W146B,W38W,W490B,W112W,W48B,W18W,9.5,68.5,74,63.75,0,9,5,2790
3,15,USA,GM,jefferyx,Jeffery Xiong,3067,W716B,W165W,L208B,W147W,W77B,W498W,W501B,W67W,W42B,W26W,D1W,9.5,68,68,57.25,0,9,4,2853
4,1,USA,GM,Hikaru,Hikaru Nakamura,3276,W135B,W426W,W125B,W14W,W69W,L13B,W50B,W66W,W47W,L1B,W26B,9,77.5,79.5,60.5,0,9,4,2896
5,7,IND,GM,vi_pranav,Pranav V,3103,W470B,W122W,W34B,W82W,W22B,W26W,L13B,L24W,W70B,W47W,W23W,9,76.5,76.5,60,0,9,4,2887
6,19,BLR,GM,DenLaz,Denis Lazavik,3104,W514B,W241W,W40B,W539W,W10B,L47W,L27B,W77W,W71B,W67W,W39B,9,71,74,58.5,0,9,5,2821
7,13,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W588B,W205W,W543B,W70W,W24W,L66B,W33W,W22B,L26W,W478B,W13W,9,70,72,57,0,9,4,2902
8,16,RUS,GM,Grischuk,Alexander Grischuk,3058,W150W,D88B,W513W,D491B,W502W,W519W,W10B,W27W,W478W,L9B,W24B,9,69,73,57.75,0,8,2,2842
9,3,USA,GM,HansOnTwitch,Hans Niemann,3128,L557B,W262W,W588B,W241W,W113B,W84W,W496B,W23W,D13B,W8W,D11B,9,66,68,56.25,0,8,3,2831
10,63,RUS,IM,MatthewG-p4p,Matvey Galchenko,2944,W717B,W157W,W544B,W117W,L6W,W483B,L8W,W497B,W144B,W69W,W25W,9,65.5,65.5,47.5,0,9,5,2805
11,27,ARM,GM,Njal28,Aram Hakobyan,3041,W685B,W318W,W595B,W290W,L71W,W80B,D51W,W487W,W16B,W21B,D9W,9,64,65,49.75,0,8,5,2860
12,8,SRB,GM,mishanick,Aleksei Sarana,3038,W189W,L547B,W663W,W167B,L56W,W234W,W79B,W504B,W482W,W33B,W22W,9,62,63,52.5,0,9,4,2725
