Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,4,FRA,GM,Firouzja2003,Alireza Firouzja,3188,W167W,W20B,W73W,W466B,W43W,W25B,L9W,W67B,W6W,D2W,W4B,9.5,80,85.5,72.25,0,9,5,2993
2,12,DEU,GM,Msb2,Matthias Bluebaum,3112,W334B,W506W,D18B,W120W,W52B,W42W,W458B,W457W,D4W,D1B,W11W,9.5,74.5,78.5,65,0,8,3,2984
3,15,NLD,GM,AnishOnYoutube,Anish Giri,3095,W628W,W113B,D148W,W57W,W467B,L46B,W14W,W105B,W459W,W49B,W9B,9.5,70.5,71.5,61,0,9,5,2863
4,3,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W347B,W51W,W512B,W31W,D459B,W70W,W11B,W10W,D2B,W9W,L1W,9,77.5,81,63.5,0,8,3,3000
5,20,RUS,GM,dropstoneDP,David Paravyan,2992,W663B,W99W,W65B,D30W,D154B,D473W,W487B,W15W,W47W,D7B,W28W,9,71,71,56.75,0,7,3,2901
6,26,UKR,GM,Alexander_Zubov,Alexander Zubov,3018,W662B,W153W,W54B,L26W,W110B,W483B,W74W,W154W,L1B,W65W,W25B,9,70.5,70.5,53,0,9,5,2866
7,2,USA,GM,Hikaru,Hikaru Nakamura,3276,W228W,W307B,W462W,W476B,D70W,W475B,W66W,D9B,D24W,D5W,W18B,9,69.5,74,57.75,0,7,4,2951
8,24,VNM,GM,LiemLe,Liem Le,3043,W661B,W627W,W483B,W80W,D324B,D104B,L26W,W107W,W75B,W74W,W37W,9,60.5,60.5,47,0,8,3,2852
9,7,UZB,GM,Javokhir_Sindarov05,Javokhir Sindarov,3126,W108B,W209W,W56B,W71W,W27B,W460W,W1B,D7W,W28W,L4B,L3W,8.5,80.5,86,63,0,8,4,3015
10,16,IND,GM,GHANDEEVAM2003,Arjun Erigaisi,3044,W217B,W112W,W17B,D104W,W30B,W486B,W46W,L4B,W458W,L18W,W26B,8.5,74.5,79,58.25,0,8,5,2913
11,19,RUS,GM,lachesisQ,Ian Nepomniachtchi,3160,W253W,W147B,W32W,W69B,D106W,W45B,L4W,W465B,W53W,W46W,L2B,8.5,74,79,57.25,0,8,4,2928
12,5,BLR,GM,DenLaz,Denis Lazavik,3104,W180B,L39W,W108B,W169W,W107B,W499W,L67B,W17W,D32B,W27W,W24B,8.5,72.5,76.5,57.5,0,8,4,2812
