Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,2,CHL,GM,nihalsarin,Nihal Sarin,3211,W582B,W112W,W78B,W22W,W13B,W37W,W5B,D4W,W464B,W6W,D3B,10,82,84.5,75.25,0,9,5,2972
2,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3313,W180W,W597B,D75W,W140B,W76W,L4B,W240B,W81W,W24B,W13W,W5B,9.5,73,75,62.5,0,9,5,2850
3,18,DEU,GM,GM_dmitrij,Dmitrij Kollars,3000,W350B,W147W,L480B,W368W,W117B,W470W,W21B,W468W,W48W,W22B,D1W,9.5,67.5,71.5,61.5,0,9,4,2845
4,40,ARM,GM,Sargsyan_Shant,Shant Sargsyan,2970,W442B,W149W,W114B,W74W,W60B,W2W,W7W,D1B,L5B,W464W,D16B,9,81,82,63.75,0,8,3,2976
5,13,NLD,GM,AnishOnYoutube,Anish Giri,3095,W157W,W547B,W113W,W506B,W51W,W71B,L1W,W70B,W4W,W25B,L2W,9,74.5,77.5,58,0,9,5,2941
6,16,DEU,GM,Msb2,Matthias Bluebaum,3112,W696B,W663W,W98B,W24W,W70B,L8W,W49B,W12B,W29W,L1B,W34W,9,74,74,55,0,9,5,2904
7,9,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W297W,W166B,D476W,W523B,W31B,W9W,L4B,D76W,W469B,W90B,W28W,9,70.5,74,58.75,0,8,5,2857
8,44,MEX,GM,kleinebeer98,Thomas Beerdsen,2901,W591B,W243W,W550B,W50W,W20B,W6B,L464W,W469W,L22B,W81W,W21B,9,69,71,55.5,0,9,5,2894
9,58,USA,GM,DominguezOnYoutube,Leinier Dominguez Perez,2968,W324B,W606W,W315B,W79B,D69W,L7B,W477B,W115W,W467W,D14B,W27W,9,67,69,52.25,0,8,4,2789
10,28,DEU,GM,rasmussvane,Rasmus Svane,2941,L486B,W530W,W157B,W606W,W112W,W95B,L24W,W92B,W80W,W35B,W22W,9,66,68,55,0,9,4,2734
11,14,UZB,GM,Javokhir_Sindarov05,Javokhir Sindarov,3126,W592B,W133W,W610B,D21W,W93B,W326W,L23B,D33W,W152B,W70W,W25W,9,65,67,51,0,8,4,2847
12,61,IND,GM,Vaathi_Coming,Aravindh Chithambaram,2934,W198W,L86B,W143W,W159B,W546W,W40B,W20B,L6W,W39B,W37W,D14W,8.5,75,78,57.75,0,8,4,2824
13,43,UZB,GM,Macho_2006,Mukhiddin Madaminov,2946,W214W,W89B,W117W,W480B,L1W,W499W,W84B,D24B,W118W,L2B,W49W,8.5,72.5,76.5,53,0,8,3,2867
14,26,USA,GM,TigrVShlyape,Gata Kamsky,2866,W172B,W661W,W160B,D93W,W35B,W116W,W475B,D464B,D51W,D9W,D12B,8.5,71.5,72.5,52.75,0,6,4,2867
15,11,RUS,IM,Rud_Makarian,Rudik Makarian,3031,W697W,D217B,W337W,W77B,W19W,D52B,W482W,L25B,D30W,W57B,W41W,8.5,69,69,50.5,0,7,2,2811
16,7,BLR,GM,DenLaz,Denis Lazavik,3104,W539W,L161B,W257W,W89B,W472W,L469B,W103W,W113B,W33W,W51B,D4W,8.5,68,71,54.5,0,8,3,2776
17,111,COL,GM,TheBigBoss04,Jose Gabriel Cardoso,2746,W698B,W185W,W209W,L23B,W308W,W478W,L48B,W292B,W154W,D29B,W51W,8.5,63,63,43.5,0,8,2,2800
18,73,CHL,GM,XDPS,Pablo Salinas Herrera,2812,W479W,W518B,W241W,L20W,W122B,L32B,W503W,D212B,W117W,W118B,W55W,8.5,62.5,66.5,47.75,0,8,3,2721
19,101,IND,IM,blitzking1729,Srihari L R,2822,W517B,W540W,D488W,W170B,L15B,W495W,L54W,W206B,W131W,W85W,W48B,8.5,61.5,64.5,46.25,0,8,4,2748
20,3,USA,GM,HansOnTwitch,Hans Niemann,3128,W106W,W471B,W81W,W18B,L8W,W30B,L12W,L73B,W87W,W115B,W50W,8,76,82,57.5,0,8,4,2793
21,87,GBR,GM,VerdeNotte,Gawain Maroroa Jones,2872,W250B,W236W,W66B,D11B,W73W,D69B,L3W,W161W,W64B,W23W,L8W,8,76,81,54.5,0,7,3,2825
22,70,IND,GM,superchess02,Iniyan P,2965,W343B,W638W,W503W,L1B,W133W,W120B,W26W,W69B,W8W,L3W,L10B,8,73.5,75,46.5,0,8,3,2889
23,34,AZE,GM,LastGladiator1,Aydin Suleymanli,3022,W458B,W596W,W39B,W17W,D475W,W33B,W11W,D29B,L25W,L21B,W84W,8,72,72,49.25,0,7,3,2861
24,94,RUS,FM,luckyswitchback,Daniil Plyasunov,2750,W267W,W570B,W159W,L6B,W542W,W479B,W10B,D13W,L2W,D36B,W89W,8,70,72.5,45.75,0,7,3,2821
25,54,AZE,GM,ChessLover0108,Mahammad Muradli,2943,W245B,L79W,W593B,W541W,W121W,W92B,W114W,W15W,W23B,L5W,L11B,8,69.5,71.5,46.5,0,8,4,2821
26,6,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W201B,W121W,D118B,W141W,W220B,D48W,L22B,L74W,W155B,W77W,W81B,8,68,73.5,51.5,0,7,4,2796
27,32,RUS,GM,dropstoneDP,David Paravyan,2992,W143B,W207W,W120B,W56W,W468B,L464W,L469B,W160B,W153W,W76W,L9B,8,68,73.5,51,0,8,4,2841
28,38,HUN,GM,Sanan_Sjugirov,Sanan Sjugirov,2931,W163B,L241W,W176B,W487W,W42B,L74W,W510B,W114B,W84W,W32B,L7B,8,67.5,71.5,50.5,0,8,6,2732
29,45,ARM,GM,Gareth-Bale11,Mamikon Gharibyan,2919,W611W,D509B,W217W,W134B,W476W,W489B,W466W,D23W,L6B,D17W,D31B,8,66,68,44.75,0,6,2,2856
30,89,INT,FM,BardArtem,Artem Bardyk,2835,W307B,W165W,L316B,W167W,W79B,L20W,W485B,W149W,D15B,D71W,W86B,8,65.5,70,49.75,0,7,4,2757
31,95,IND,FM,Mysterio47,Vedant Panesar,2816,W246B,W554W,D170B,W206B,L7W,W222W,L72B,W125W,W173B,W136W,D29W,8,65,68,45,0,7,3,2769
32,184,IRN,FM,Evan_Attaker,Amir Hossein Doroodgar,2697,D642B,W188W,W380W,D49B,W566B,W18W,W52W,L51B,W116B,L28W,W70B,8,65,66.5,46.5,0,7,3,2807
33,85,ARE,FM,temus_galaktionov,Artem Galaktionov,2861,W665B,D244W,W268B,W573W,W62B,L23W,W473W,D11B,L16B,W127W,W103B,8,65,66,42.5,0,7,4,2747
34,41,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2926,W231W,W195B,L536W,W602B,L471B,W150W,W122B,W40W,W74B,W73W,L6B,8,64.5,66.5,48.5,0,8,4,2725
35,110,INT,FM,bascheyaro,Roman Yanchenko,2816,D693W,W211B,W244W,W488B,L14W,W527B,W61W,W466B,D72B,L10W,W88W,8,64,64.5,43.25,0,7,4,2786
36,27,RUS,GM,Prizant_academy,Ivan Zemlyanskii,3183,W699W,W130B,D77W,W553W,W80B,L475W,L78B,W134W,W140B,D24W,W99B,8,64,64,44,0,7,4,2774
37,22,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2970,W617B,W653W,W123B,W83B,W500W,L1B,D235W,D80B,W470W,L12B,W78W,8,63.5,64.5,39.75,0,7,3,2854
38,12,VNM,GM,wonderfultime,Tuan Minh Le,3088,W226B,W87W,L74B,W555W,L114B,W177W,L161B,W244W,W79B,W178W,W75B,8,63,66,46.5,0,8,3,2694
39,153,TCA,FM,Dolphin_2010,Aleksandr Usov,2808,W700B,W352W,L23W,W218B,L465B,W242W,W157B,W481B,L12W,W69B,W90W,8,62.5,62.5,39.5,0,8,5,2786
40,144,ESP,IM,Rutricks,Rubén Domingo Núñez,2697,W255W,W393B,L69W,W251B,W312W,L12W,W371B,L34B,W196W,W154B,W71B,8,61,64,40.5,0,8,5,2729
41,56,UZB,GM,Shield12,Shamsiddin Vokhidov,2941,L229B,L423W,W586B,W359W,W213B,W159W,W87B,W471W,W472B,W72W,L15B,8,58,60,44,0,8,4,2672
42,196,ESP,IM,ellatambien,Diego Adla,2693,W321B,L489B,W341W,W223B,L28W,W251B,L465B,W372W,W187W,W153B,W76W,8,57,61,42,0,8,4,2733
43,174,MDA,IM,AndrewMaco,Andrei Macovei,2779,W234W,L337B,L126B,W393W,W580B,W148W,W249B,L116W,W163B,W152W,W111W,8,56,58.5,41.5,0,8,3,2612
44,96,RUS,FM,Witik,Vjacheslav Weetik,2838,W279W,L488B,W245W,L495B,W611W,L82B,W275B,W157W,W240W,W122B,W72B,8,55.5,57.5,41.5,0,8,3,2622
45,113,KAZ,IM,Individoom,Bakhtiyar Askarov,2709,L269B,W727W,W620B,W512W,D527W,W306B,L90B,W243W,W61W,W91B,D46W,8,53.5,53.5,35.75,0,7,3,2690
46,66,FRA,IM,scarabee43,Marco Materia,2909,L660B,W678W,W339B,W618W,W547B,L114W,D130B,W63W,W477B,W56W,D45B,8,51.5,52.5,37.75,0,7,3,2676
47,81,RUS,FM,Iball95,Igor L. Vakhlamov,2814,L528B,W669W,L591B,L262B,W295W,W393B,W564B,W185W,W208W,W471B,W73W,8,46,47,36.5,0,8,3,2539
48,46,AZE,GM,Durarbayli,Vasif Durarbayli,2925,W282B,W58W,W558B,W92W,D489W,D26B,W17W,W152W,L3B,D50B,L19W,7.5,72,75,47,0,6,2,2866
49,77,RUS,GM,alexrustemov,Alexander Rustemov,2852,D260B,W168W,W509B,D32W,W207B,W155W,L6W,D112B,W65W,W467B,L13B,7.5,68.5,72.5,45.25,0,6,3,2714
50,137,KAZ,FM,zimmm36,Simon Lamaze,2679,W669B,W252W,W72B,L8B,D306W,W184B,W85W,D90W,W52B,D48W,L20B,7.5,68.5,69.5,43,0,6,4,2838
51,51,IRN,FM,artin10862,Artin Ashraf,2961,W144W,W662B,W571W,W538B,L5B,W113W,W74B,W32W,D14B,L16W,L17B,7.5,68,69,38.75,0,7,3,2841
52,57,SYR,IM,Rsnr,Arsene Kukhmazov,2845,W193W,W292B,W588W,D333W,W158B,D15W,L32B,W127B,L50W,W472B,D64W,7.5,65.5,67.5,41.75,0,6,4,2756
53,74,IND,IM,the_chess_child,Ilamparthi A R,2883,W701B,W115W,W155B,L489B,W215W,L471W,D65B,W126W,W212B,L55W,W112B,7.5,62,62,40.25,0,7,4,2717
