Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,2,USA,GM,Hikaru,Hikaru Nakamura,3295,W564B,W103W,W138B,W21W,W265B,W5W,L3B,W18W,W4B,W2B,W16W,10,80,81,71,0,10,5,2996
2,3,FRA,GM,Firouzja2003,Alireza Firouzja,3228,W388W,W460B,W140W,W13B,W46B,W4W,W61B,W3W,W7B,L1W,W10B,10,79.5,81,71,0,10,6,2992
3,12,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3117,W181B,W565W,W33B,W102W,W64B,W31W,W1W,L2B,W427B,W19W,W11B,10,79,80,70,0,10,5,2969
4,24,NLD,GM,AnishOnYoutube,Anish Giri,3072,W89B,W106W,W83B,W108W,W455B,L2B,W38W,W23B,L1W,W39B,W19B,9,79,83,63,0,9,6,2907
5,18,USA,GM,DanielNaroditsky,Daniel Naroditsky,3094,W193B,W566W,W12B,W50W,W32B,L1B,W24W,W26B,L19W,W61W,W38B,9,78.5,79.5,61.5,0,9,5,2895
6,17,RUS,GM,lachesisQ,Ian Nepomniachtchi,3118,W156W,D143B,W553W,W78B,W30W,W60B,W10W,D7W,L8B,W59W,W26B,9,75.5,77,60.5,0,8,3,2894
7,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3306,W631W,D552B,W448W,W476B,W14W,W26B,W18W,D6B,L2W,W64W,W31B,9,67.5,67.5,52.25,0,8,3,2911
8,43,IRN,FM,rezamahdavi2008,Reza Mahdavi,3068,W394B,W529W,D133B,D456W,W135B,W68W,W22W,W25B,W6W,L16W,W20B,9,66.5,67.5,54,0,8,4,2894
9,20,RUS,IM,Rud_Makarian,Rudik Makarian,3132,W632B,W577W,W169B,D60B,D187W,W101B,W21W,L19B,W63B,W37W,W30W,9,65,65,50.75,0,8,4,2794
10,6,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3081,W127B,W53W,D429B,W99W,W48B,W43W,L6B,W61W,W41B,W14W,L2W,8.5,77.5,84,61.75,0,8,3,2905
11,22,USA,GM,Shankland,Sam Shankland,3053,W538B,W85W,L436B,W530W,W200B,W36W,W81B,D16B,W17W,W12B,L3W,8.5,70,72,52.75,0,8,4,2833
12,140,FRA,FM,SALVA-DALI,Alen Yeremyan,2826,W183B,W527W,L5W,W233B,D278W,W80B,W48B,W43W,W46B,L11W,W42W,8.5,69.5,71.5,51.75,0,8,5,2791
