Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,4,GRC,GM,NikoTheodorou,Nikolas Theodorou,3090,W676B,W80W,W114B,W26W,D17B,W16W,L4B,W52W,W46W,W41B,W19B,9.5,79,79,65.25,0,9,4,2919
2,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3306,W245W,W81B,W69W,W469B,W481B,L41W,W105B,W12B,W4W,D3B,W18W,9.5,75,80,67.75,0,9,5,2950
3,8,BLR,GM,DenLaz,Denis Lazavik,3205,W289B,W155W,D25B,W244B,W48W,W475W,W66B,W42W,W41B,D2W,D6W,9.5,72.5,77.5,64.25,0,8,4,2921
4,20,USA,GM,LevonAronian,Levon Aronian,3062,W228B,W588W,W539B,W533W,D475B,W476W,W1W,W20B,L2B,W13W,W11W,9.5,67,69,56.75,0,9,3,2937
5,35,IRN,FM,rezamahdavi2008,Reza Mahdavi,3068,W595W,W111B,W154W,W67B,W44B,L42W,W106W,L6B,W86W,W33B,W22B,9,73.5,75.5,59,0,9,5,2875
6,2,USA,GM,Hikaru,Hikaru Nakamura,3295,W220B,W89W,W540B,W503W,L46B,W483W,W45B,W5W,W467B,D19W,D3B,9,70.5,73.5,57,0,8,4,2934
7,54,INT,FM,Bauman_Guy,Konstantin Popov,2948,W261B,W133W,L67B,W40W,L71B,W108W,W214B,W162W,W148W,W38B,W32W,9,68.5,73.5,59.5,0,9,3,2709
8,68,POL,IM,Kosak12,Jakub Kosakowski,2823,W544B,W306W,W240B,W18B,L43W,W83B,W74W,L467B,W154B,W52W,W28W,9,68,71,56.5,0,9,5,2824
9,6,INT,GM,artooon,Pranesh M,3026,W382B,W567W,W429B,L475W,W72B,W77W,W480W,W200B,L19W,W466B,W16B,9,60.5,62.5,48.5,0,9,6,2869
10,51,SVN,GM,Anton_Demchenko,Anton Demchenko,2988,W677W,W622B,W570W,L505W,W110B,W148W,D150B,D43B,W57W,W68B,W31W,9,55.5,55.5,44.75,0,8,3,2793
11,5,RUS,GM,lachesisQ,Ian Nepomniachtchi,3118,W636W,W499B,W47W,W493B,D16B,W22W,W17B,D41W,D18B,W14W,L4B,8.5,76,77,55.25,0,7,3,2936
12,40,PER,GM,Sychev_on_YouTube,Klementy Sychev,2855,W352B,W108W,W55B,W494W,W467W,W46B,D42B,L2W,L15W,W59B,W58W,8.5,73.5,77.5,55.75,0,8,4,2881
13,62,INT,GM,Alexander_Donchenko,Alexander Donchenko,2970,W164B,W157W,W564B,W74W,W472W,W19B,L41B,D44W,W42B,L4B,W51W,8.5,73,75.5,54.75,0,8,4,2956
14,46,RUS,IM,Rud_Makarian,Rudik Makarian,3132,W121B,W633W,D24B,W484W,L20B,W212W,W71B,W51W,W21B,L11B,W44W,8.5,72.5,73.5,52.5,0,8,3,2864
15,9,VNM,GM,wonderfultime,Tuan Minh Le,3080,W307W,W495B,W117W,W45B,D22B,L66W,W47B,W475W,W12B,L16W,W30B,8.5,72,76.5,56.75,0,8,5,2883
16,32,USA,GM,DanielNaroditsky,Daniel Naroditsky,3094,W209B,W241W,W118B,W498B,D11W,L1B,W93W,W476W,W70B,W15B,L9W,8.5,72,76.5,53.75,0,8,5,2920
17,30,NOR,GM,AryanTari,Aryan Tari,2971,W679B,W191W,W72B,W379W,D1W,W61B,L11W,L466B,W93W,W63B,W53W,8.5,71.5,71.5,50.75,0,8,4,2852
18,18,MEX,GM,Jospem,Jose Martinez,3075,W678B,W159W,W490B,L8W,W161B,W506W,W30B,W69W,D11W,W20B,L2B,8.5,71.5,71.5,48.75,0,8,5,2869
19,28,KAZ,GM,Zhalmakhanov_Ramazan,Ramazan Zhalmakhanov,2994,W444B,W251W,W109B,W483B,W505W,L13W,W49B,W471W,W9B,D6B,L1W,8.5,70,71,48.5,0,8,5,2923
20,119,IMN,FM,hakanazeri2,Khagan Ahmad,2758,W253B,D158W,W324B,W504W,W14W,W470B,W43W,L4W,W472B,L18W,W41W,8.5,68.5,72.5,51.5,0,8,4,2857
