Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,5,FRA,GM,Firouzja2003,Alireza Firouzja,3188,W380B,W157W,W86B,D68W,W51B,W49W,W31B,W484W,W2W,W4B,D3W,10,79,82.5,74.25,0,9,5,2961
2,12,USA,GM,jefferyx,Jeffery Xiong,3067,W472W,W125B,W83W,W559B,W19W,W7B,W70W,W4W,L1B,W20W,W14W,10,76,76,66,0,10,3,2966
3,27,ARM,GM,Njal28,Aram Hakobyan,3041,W740B,W316W,W52B,W117B,W522W,L4W,W498B,W21W,W486B,W7W,D1B,9.5,70.5,70.5,56.5,0,9,5,2905
4,2,USA,GM,Hikaru,Hikaru Nakamura,3276,W135W,W291B,W74W,W27B,W520W,W3B,W20W,L2B,W6W,L1W,W16B,9,81.5,85.5,65.5,0,9,4,2985
5,10,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W295W,W39B,W492W,W57B,W17W,L20B,W32W,W19B,L7W,W71B,W25W,9,78,83,66,0,9,4,2891
6,11,BLR,GM,DenLaz,Denis Lazavik,3104,W281B,W123W,W566B,W212W,D486B,W127W,W15W,W22B,L4B,W48W,D10B,9,72.5,75.5,58.5,0,8,3,2963
7,33,RUS,GM,Volodar_Murzin,Volodar Murzin,3014,W408B,W557W,W82B,W534B,W85W,L2W,W36B,W71W,W5B,L3B,W28W,9,72.5,75.5,56,0,9,5,2854
8,67,NOR,FM,ELECTRODYNAMIC_DRACULA,Havard Haug,2884,W121B,L126W,W138B,W119W,W123B,W69W,L13B,W501W,W491B,W38W,W20B,9,70,75,60,0,9,5,2754
9,3,RUS,GM,lachesisQ,Ian Nepomniachtchi,3160,L530B,W633W,W340B,W56W,D523B,W136W,W38B,D25W,W26B,W15W,W19B,9,66.5,68.5,58.5,0,8,4,2745
10,17,DEU,GM,Msb2,Matthias Bluebaum,3112,W694B,D542W,W565B,W580W,L28B,W60W,W116B,W42W,W72B,W24W,D6W,9,63,63.5,49.25,0,8,4,2799
11,685,MEX,GM,Jospem,Jose Martinez,3073,U--,U--,W385B,W311W,W549B,W329W,W76W,W84B,W44W,W27W,W21B,9,50.5,54,54,0,9,4,2658
12,26,RUS,IM,Rud_Makarian,Rudik Makarian,3031,W156W,W89B,W553W,W77B,W114W,L70B,W46W,W27B,W79W,L14B,D18B,8.5,73.5,76.5,56.75,0,8,3,2851
13,9,RUS,GM,Duhless,Daniil Dubov,3122,W751B,L220W,W221B,W120W,W82B,W160B,W8W,D17B,L15W,W104B,W36W,8.5,71.5,71.5,53.25,0,8,5,2790
14,6,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W275W,W163B,D543W,W78B,W68W,L31W,W130B,W494W,W49B,W12W,L2B,8.5,71,74.5,54.75,0,8,4,2890
15,39,IND,GM,mitrabhaa,Mitrabha Guha,2938,W398B,W186W,W589B,W72B,W499W,D484W,L6B,W115W,W13B,L9B,W65W,8.5,69,71,49.25,0,8,4,2931
16,21,RUS,GM,shimastream,Aleksandr Shimanov,3025,D251B,W150W,W542B,W543B,W50W,W24B,L22W,W212W,W62B,W29W,L4W,8.5,68.5,72,52.5,0,8,4,2884
17,42,BIH,IM,mbojan,Bojan Maksimović,2948,W661W,W502B,W149W,W561B,L5B,W114W,W77B,D13W,L29B,W136B,W48W,8.5,67.5,68.5,47.25,0,8,4,2863
18,65,KAZ,FM,Eagle_2019,Mamedov Edgar,2902,D166B,D517W,W398B,W304B,W163W,W81B,W253W,L20B,W95W,W77B,D12W,8.5,63.5,66.5,49,0,7,4,2714
19,55,CHN,GM,FXDon77,Xu Yi,2915,W134B,W140W,W99B,W80W,L2B,W522B,W73W,L5W,W40B,W46W,L9W,8,78,82,54,0,8,4,2855
20,31,RUS,GM,dropstoneDP,David Paravyan,2992,W636B,W515W,W523B,W53W,W62B,W5W,L4B,W18W,W485W,L2B,L8W,8,76,78,50,0,8,3,2910
21,70,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2912,W234W,W129B,W55W,W159B,W511W,L22B,W84W,L3B,W83W,W78B,L11W,8,73,77.5,51,0,8,3,2870
22,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3313,W174B,W651W,D78B,W507W,W69B,W21W,W16B,L6W,L48B,D51W,W59B,8,73,74,50.25,0,7,4,2860
23,19,IND,GM,fireheart92,Adhiban Baskaran,3023,W164B,W81W,W58B,W116B,D24W,D28W,L71B,D114W,W103B,D73W,W77B,8,71.5,77.5,55.75,0,6,5,2810
24,75,PER,GM,Sychev_on_YouTube,Klementy Sychev,2919,W258B,W577W,W76B,W303W,D23B,L16W,W155B,W54B,W484W,L10B,D29W,8,71,74,48.5,0,7,4,2883
25,43,MNE,GM,Kiborg95,,2839,W700B,W223W,W367B,L114B,W97W,W52W,D63B,D9B,W122W,W70W,L5B,8,69.5,69.5,45.75,0,7,2,2820
26,95,HUN,GM,Gabix_94,Gabor Nagy,2839,W256B,W141W,D162B,D251W,W94B,W156W,L486W,W81B,L9W,W97B,W100W,8,67.5,72.5,51,0,7,4,2724
27,78,INT,FM,BardArtem,Artem Bardyk,2835,W400W,W224B,W410W,L4W,W125B,W158W,W487B,L12W,W118W,L11B,W95W,8,67,70,43.5,0,8,3,2850
28,103,ESP,FM,Gravity_Chess,Gabriel Arteaga,2804,W610B,W514W,W255W,D487B,W10W,D23B,L490B,W504W,W157B,W486W,L7B,8,65.5,67.5,45.5,0,7,2,2863
29,8,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,D88W,L251B,W688W,W150B,W571W,W523B,W104W,W65B,W17W,L16B,D24B,8,65,66,45,0,7,3,2747
30,29,INT,IM,MyDream003,Zou Chen,2928,L254B,W286W,W169B,W602B,D155W,W90W,W74B,D78W,D73B,W117W,D43B,8,64.5,66.5,47.5,0,6,3,2736
31,37,ARM,GM,Gareth-Bale11,Mamikon Gharibyan,2919,W660B,W663W,D539B,W252W,W214W,W14B,L1W,L72W,W92B,W62W,D41W,8,63,64,41.25,0,7,3,2817
32,71,INT,FM,Bauman_Guy,Konstantin Popov,2907,W594B,W607W,W504B,W524W,L484B,W186W,L5B,W80W,L38B,W105B,W84W,8,62.5,64.5,40,0,8,3,2765
33,44,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2970,W190W,L69B,W604W,L94B,W135W,L161B,W249W,W255B,W158W,W155B,W112W,8,62,64,44,0,8,2,2638
34,30,ESP,GM,Fandorine,Maksim Chigaev,2933,W699W,L76B,W587W,L158B,W271W,W140B,W186W,W58B,D117W,D72B,W73W,8,61,61,41.25,0,7,2,2689
35,137,INT,CM,Tikhon_Popov,Tikhon Popov,2731,L507W,D267B,W278W,W151W,D170B,W508W,W193B,L487W,W180B,W88W,W71W,8,59.5,64.5,48,0,7,2,2635
36,92,IND,FM,wqws,Kaivalya Sandip Nagare,2902,W185W,L592B,W560W,W440W,W510B,W171B,L7W,W87B,W164W,W79B,L13B,8,59.5,61.5,42,0,8,4,2725
37,152,COL,FM,angelgab3,Angel Gabriel Cordoba Roa,2753,W630W,W207B,L48W,W47W,W219B,U--,W203W,L489W,W189B,W75B,W68W,8,59,61,47.5,0,8,4,2676
38,84,IND,FM,Tactrics64,Harshit Pawar,2761,U--,W615B,W229W,W222B,W172W,W520B,L9W,W253B,W32W,L8B,W98W,8,59,61,43,0,8,4,2755
39,206,TUR,FM,AlwaysPlayForAWin44,Kerem Erten,2716,W677B,L5W,W456B,D167W,L329W,W238B,W175W,D68B,W181W,W74W,W70B,8,59,60,40,0,7,4,2661
40,124,ARM,FM,Alen_Yeremyann,Alen Yeremyan,2816,W247B,W271W,L493B,L514W,W354B,W266W,W524B,W159W,L19W,W109B,W79W,8,57.5,61.5,43.5,0,8,4,2646
41,93,IND,IM,Aradhya2000,Aradhya Garg,2787,W725B,L159W,W567B,W572W,L158W,D143B,W387W,W145B,W56W,W49W,D31B,8,57.5,57.5,38.25,0,7,3,2674
42,77,FRA,GM,AnthonyWirig,Anthony Wirig,2849,W307B,D304W,W605B,D239W,D183W,W390B,W515W,L10B,D155W,W157B,W87B,8,56.5,58.5,38.5,0,6,5,2693
43,63,IND,GM,FGHSMN,Bharath Subramaniyam.H Harishankkar,2860,W173B,L516W,W660B,W161W,L504B,D304W,W214B,W252W,W215B,W124W,D30W,8,56.5,57.5,41.75,0,7,4,2688
44,104,ARG,FM,IlanSchnaider,Ilan Schnaider,2862,D582W,W238B,W228W,W396B,U--,W214W,D489B,W69W,L11B,W106W,W94W,8,55.5,58,44.75,0,7,2,2707
45,52,RUS,IM,MatthewG-p4p,Matvey Galchenko,2944,L529W,W434B,W408W,L516B,W528W,W129B,W89W,L118B,W272W,W82B,W72W,8,54.5,56.5,41.5,0,8,3,2644
46,96,IND,IM,WhiteKnight2612,Rohith Krishna,2816,W701W,W596B,W161W,L511B,W410W,W514B,L12B,W291W,W174W,L19B,W89W,8,54.5,54.5,33.5,0,8,2,2742
47,342,MDG,CM,aot317,Eyal Noy,2609,L499B,W586W,W675W,L37B,W225B,L118W,W396B,W367W,W504B,W188W,W78W,8,52.5,53.5,34,0,8,3,2651
48,23,USA,GM,SpeedofLight0,Andrew Hong,3111,W169B,W183W,W37B,W73W,L70W,D72B,W50W,W59B,W22W,L6B,L17B,7.5,75.5,81.5,53.5,0,7,3,2883
49,28,CHN,GM,xiaotong2008,Xiao Tong,3000,W604W,D581B,W115W,W118B,W60W,L1B,W53W,W63B,L14W,L41B,W136W,7.5,71,73,45.25,0,7,2,2829
50,102,CHN,NM,Abund,Qingyu Yuan,2734,W456W,W147B,D213W,W257B,L16B,W126W,L48B,W165W,L54W,W119B,W115W,7.5,66,67,40.75,0,7,3,2753
51,76,AZE,FM,ilqar_74,Rustam Rustamov,2841,W283W,W459B,W227B,D493W,L1W,W542B,L115B,W55W,W114B,D22B,D58W,7.5,65.5,66.5,39.5,0,6,4,2770
52,160,CHL,IM,MatyChess1,Matías Pérez Gormaz,2718,W199W,W172B,L3W,W337B,W565W,L25B,L156B,W259W,W91W,D127B,W131B,7.5,64.5,67.5,40.75,0,7,3,2698
53,121,HRV,FM,EddieMarsalla,Ivan Vihor Krsnik Cohar,2785,W684W,W222B,W218W,L20B,W141W,D511B,L49B,L119W,W224B,W143W,W125B,7.5,62.5,63.5,39.25,0,7,3,2720
54,7,IND,GM,vi_pranav,Pranav V,3103,W727B,W109W,L554B,W608W,W102B,W117W,D494B,L24W,W50B,L59W,W110B,7.5,61,61,39.75,0,7,4,2770
55,196,IND,IM,Losingexperience,Srihari L,2760,W389B,W309W,L21B,W314W,L79B,W153W,D270W,L51B,W221W,W232W,W117B,7.5,60.5,64,39,0,7,2,2639
56,564,GBR,CM,kingside_rook,Manmay Chopra,2408,W120W,W501W,D580B,L9B,W581W,W387W,L212B,W60W,L41B,W168W,W137W,7.5,60,62.5,38.75,0,7,0,2767
57,85,SRB,IM,mind1mover,Vuk Damjanovic,2858,W182B,W654W,W516B,L5W,L316B,W577W,W120B,L97W,D61W,W214B,W124B,7.5,60,61,36.75,0,7,5,2691
58,151,SRB,FM,NikitaShandrygin,Nikita Shandrygin,2697,W230B,W682W,L23W,L156B,W560W,W254B,W370W,L34W,W69B,W192W,D51B,7.5,60,61,35.25,0,7,3,2681
59,89,IRN,IM,AradNazari,Arad Nazari,2821,D146B,W375W,W540B,L213B,W585W,W128W,W511B,L48W,W142B,W54B,L22W,7.5,59.5,62,37.75,0,7,4,2809
60,187,EGY,IM,m_ezat,Mohamed Ezat,2744,W728W,W263B,W556W,D538W,L49B,L10B,W258W,L56B,W222W,W151B,W116B,7.5,59,59,33.25,0,7,3,2710
61,252,PHL,GM,gmjoey1,Rogelio Jr Antonio,2801,W308W,W652W,L527B,L490W,W264B,W148W,L117B,W284W,D57B,W212W,W122B,7.5,57,58,37.75,0,7,2,2738
62,190,MNG,IM,Agibileg,Uurtsaikh Agibileg,2674,W726B,W653W,W593B,W79W,L20W,D512B,W127B,W499W,L16W,L31B,W121W,7.5,57,57,30.25,0,7,3,2878
63,97,UKR,FM,ValentunHulka,Valentyn Hulka,2846,L595B,W323W,W181B,W592W,W516W,W525B,D25W,L49W,L115B,W126W,W120B,7.5,56,58,38,0,7,3,2679
64,241,INT,FM,Mach1el,Mikhail Spizharny,2667,W415B,L131B,L270W,L237B,W241W,W286B,W264W,D306B,W139W,W215W,W114B,7.5,55.5,58,38.75,0,7,3,2548
65,79,USA,GM,gmcorrales,Fidel Corrales Jimenez,2972,W702B,U--,W262W,D421B,W162W,W124W,W252B,L29W,W66B,W115W,L15B,7.5,55.5,55.5,37.75,0,7,3,2744
66,142,DJI,IM,Boundless_Strike,Shamil Arslanov,2602,W344B,W545W,L487W,L171B,W625W,W170B,D514W,W270B,L65W,W213W,W118B,7.5,54.5,56.5,34.75,0,7,4,2653
67,66,AZE,GM,Durarbayli,Vasif Durarbayli,2925,W526W,L177B,D643W,D528W,W604B,W191W,W176B,L105W,D120W,W128B,W142B,7.5,54.5,56,37,0,6,4,2632
68,83,ISR,GM,Nitzan_Steinberg,Nitzan Steinberg,2911,W75B,W277W,W205W,D1B,L14B,L115W,W304B,D39W,W177B,W107W,L37B,7,72,76.5,44.5,0,6,3,2761
69,245,KAZ,FM,Leebit02,Liya Kurmangaliyeva,2661,W139B,W33W,W108W,W494B,L22W,L8B,W263W,L44B,L58W,W173B,W167W,7,71.5,76.5,44,0,7,3,2770
70,106,INT,GM,Rakhmanov_Aleksandr,Aleksandr Rakhmanov,2824,W359W,W261B,W592W,W489W,W48B,W12W,L2B,L486B,W97W,L25B,L39W,7,71,73,40,0,7,2,2864
71,74,UKR,GM,sokidze,Ihor Samunenkov,2909,W366W,W642B,W168W,L85B,W76W,W165B,W23W,L7B,W105W,L5W,L35B,7,71,72.5,39.5,0,7,2,2775
72,150,KAZ,FM,nekotyanof,Satbek Akhmedinov,2779,W328W,W356B,W597B,L15W,W75B,D48W,W512W,W31B,L10W,D34W,L45B,7,69,71,37.75,0,6,4,2881
73,112,RUS,IM,dzhumagaliev,Ian Dzhumagaliev,2780,W290W,W508B,W254W,L48B,W129B,W173W,L19B,W177W,D30W,D23B,L34B,7,68,73,41.5,0,6,2,2791
74,128,RUS,GM,Kobalia,Mikhail Kobalia,2792,W226B,W655W,L4B,W266W,W251B,D489W,L30W,W143B,D127W,L39B,W162W,7,65.5,66.5,35.25,0,6,3,2781
75,422,ITA,FM,betta2004,Francesco Bettalli,2566,L68W,W698B,W273B,W132W,L72W,W99B,L105B,W274W,W76B,L37W,W158W,7,65.5,66,37,0,7,4,2708
76,224,RUS,FM,NovoselovRoman,Roman Novoselov,2667,W351B,W34W,L24W,W305B,L71B,W230W,L11B,W537B,L75W,W201B,W172W,7,65,69,38,0,7,4,2682
77,118,GEO,IM,GaiozNigalidze,Gaioz Nigalidze,2758,W197B,W598W,W306B,L12W,W524B,W499B,L17W,W158W,W490B,L18W,L23W,7,65,67,33.5,0,7,5,2839
78,125,GBR,IM,Marcus_Harvey,Marcus Harvey,2753,W458W,W259B,D22W,L14W,W540B,W213W,W513B,D30B,W489W,L21W,L47B,7,65,66,33.5,0,6,3,2870
79,64,FRA,IM,kingofthenil,Mahel Boyer,2909,W473W,W119B,W590W,L62B,W55W,W504B,W491W,W490W,L12B,L36W,L40B,7,65,65,33,0,7,2,2787
80,185,POL,GM,Harry_Rakkel,Krzysztof Jakubowski,2729,W376W,W225B,W485W,L19B,L488B,W337W,W121B,L32B,W156W,L98B,W171W,7,64,67.5,38.5,0,7,2,2734
81,216,RUS,WIM,Speshka,Anna Shukhman,2662,W198B,L23B,W681W,W321B,W527W,L18W,W219B,L26W,W166B,D122B,D103W,7,64,65,33.75,0,6,4,2700
82,167,RUS,GM,KaterynaLagno,Kateryna Lagno,2748,W339B,W305W,L7W,W281B,L13W,W222W,L164B,W254B,W171W,L45W,W174B,7,63.5,67.5,36,0,7,4,2684
83,138,GEO,FM,DenielSafarov,Deniel Safarov,2767,W333B,W192W,L2B,W548W,L525B,W231W,W85W,W181B,L21B,L110W,W180B,7,63.5,67,38,0,7,3,2665
84,145,AZE,FM,alreadybroken23,Allahverdi Hamidov,2761,W323W,L507B,W594W,W174B,W230W,W500W,L21B,L11W,W191B,W164W,L32B,7,63,65,35,0,7,2,2715
85,321,UKR,FM,DeArron_Fox,Teimur Toktomushev,2566,W324W,W122B,W562W,W71W,L7B,L498W,L83B,W148W,L188B,W253W,W155B,7,62.5,65.5,38.5,0,7,2,2736
86,130,DEU,FM,RandomNoob04,Moritz Weishäutel,2712,W569B,W138W,L1W,W261B,L171W,W251B,W279W,L164B,W159W,L94B,W191W,7,62.5,65.5,36.5,0,7,3,2658
87,195,ESP,IM,Rutricks,Rubén Domingo Núñez,2697,W575W,L493B,W280W,W218B,L494W,W217B,W172W,L36W,W173B,W101B,L42W,7,62,65,38,0,7,4,2622
88,346,GBR,CM,mightysmasher,Supratit Banerjee,2595,D29B,W378W,W216W,L103B,L215W,D260B,W293W,W268W,W152B,L35B,W157W,7,61.5,65,38,0,6,1,2692
89,221,IRN,FM,SobZahmati,Sobhan Zahmati,2607,W574W,L12W,W545B,W139W,L506W,W313B,L45B,W184W,W505B,W160W,L46B,7,61,64,34.5,0,7,3,2710
90,166,UZB,IM,Tash_Boy,Ortik Nigmatov,2710,D379W,W278B,L257W,W238B,W307W,L30B,W226W,L127B,W141W,W134W,D104B,7,60,63.5,38.75,0,6,2,2626
91,318,ESP,FM,CrushingKings,Alejandro Domingo Nunez,2641,W365B,W463B,L116W,W93B,L160W,L101B,W179W,W282W,L52B,W285W,W188B,7,60,61,34,0,7,4,2665
92,108,RUS,IM,Flawless_Fighter,Polina Shuvalova,2771,W664W,W530B,L159B,W509W,W239B,W121W,L485B,D496W,L31W,D162B,W161B,7,59.5,60.5,33.75,0,6,3,2674
93,114,NLD,IM,IM_ArthurDW08,Arthur De Winter,2783,W217B,W370W,L303B,L91W,W292B,W110W,W161W,L174B,L100W,W251B,W159W,7,59,63,38.5,0,7,3,2589
94,243,ARM,CM,VacheH009,Vache Hovakimyan,2639,L550B,W348W,W614B,W33W,L26W,W571B,W160W,L117B,W506W,W86W,L44B,7,59,61,35,0,7,2,2693
95,146,RUS,FM,Bob_2004,Vadim Bobkov,2724,W729B,W334W,L489B,W254B,W573W,L488W,W141B,W166W,L18B,W174W,L27B,7,59,59,30.5,0,7,3,2710
96,48,RUS,GM,alexrustemov,Alexander Rustemov,2852,W567W,D637B,W128W,L214B,W137W,L155B,W126B,L142W,D178B,W208W,W165B,7,58.5,60,38.25,0,6,2,2647
97,191,FIN,IM,Karttunen,Mika Karttunen,2676,W346W,W428B,L538B,W270W,L25B,W547B,W229W,W57B,L70B,L26W,W169B,7,58,60,33.5,0,7,4,2687
98,61,RUS,FM,GoltsevDmitry2000,Goltsev Dmitry,2802,L576B,W243W,L315B,W197B,W587W,D119W,W544B,W149W,D492B,W80W,L38B,7,56.5,59,37.25,0,6,2,2616
99,188,IND,CM,vishwa_vijeta,Vivaan Vishal Shah,2680,W335B,W690W,L19W,L230B,W232B,L75W,W567B,L169W,W185B,W259B,W192W,7,56,57,30.5,0,7,5,2562
100,246,ESP,FM,MKlose11,Alberto Martin Fuentes,2672,W402W,L486B,W312W,L519B,W359W,L305B,W217W,W257W,W93B,W492W,L26B,7,55.5,58.5,35,0,7,1,2662
101,94,POL,GM,Byniolus,Zbigniew Pakleza,2842,W662W,L524B,W576W,W255B,L165B,W91W,L177B,W203W,W510B,L87W,W175B,7,55,56,33,0,7,3,2616
102,155,IND,FM,SahibSinghKnight,Sahib Singh,2715,W338B,L179W,W400B,W259W,L54W,L174B,L275W,W276W,W294B,W261W,W156B,7,54.5,57.5,33,0,7,4,2588
103,98,ROU,FM,IMchanged,Felix Ilinca,2821,W705W,W669B,D387W,W88W,L487B,L515B,W213W,W128B,L23W,W227W,D81B,7,54.5,54.5,30.75,0,6,2,2710
104,86,IND,IM,monomita,Mayank Chakraborty,2901,W704W,L180B,W661W,W601B,D515W,W145W,L29B,W240W,W216B,L13W,D90W,7,54.5,54.5,26.25,0,6,2,2731
105,169,SRB,FM,Mikasinski,Mihailo Djokic,2658,W435B,L571W,W595W,L173B,W576W,W517B,W75W,W67B,L71B,L32W,W164B,7,54,56,32,0,7,4,2623
106,200,NOR,GM,Grukjr,Simen Agdestein,2642,W474B,L499W,W319B,W338W,L512W,L229B,W529B,W201W,W169B,L44B,W166W,7,53.5,53.5,30.5,0,7,4,2657
107,171,ARG,IM,lamomiajunior,Joaquin Fiorito,2772,L196B,W236W,W609B,W526W,L490B,W408W,L181B,W530W,W231B,L68B,W170W,7,53,55,30,0,7,2,2618
108,81,CAN,GM,KNVB,Aman Hambleton,2814,W645B,W143W,L69B,L129W,W432B,L524W,W337B,L189W,W265B,W193W,W177B,7,53,54.5,31,0,7,5,2596
109,203,RUS,IM,Korchmar_Vasiliy,Vasiliy Korchmar,2711,W623W,L54B,W662W,L172B,L547W,W237B,W573W,W138B,W253W,L40W,W194B,7,53,54,29,0,7,3,2618
110,282,INT,CM,Nicki2013,Nikolay Kleimenov,2630,L431W,W335B,L305B,W352W,W361B,L93B,W260W,W527W,W263B,W83B,L54W,7,52,54,33,0,7,4,2574
111,57,IND,IM,the_chess_child,Ilamparthi A R,2883,L265B,W344W,D528B,L170W,W616B,L184W,W350W,D190B,W262W,W203B,W186W,7,52,54,32,0,6,2,2543
112,120,RUS,FM,Witik,Vjacheslav Weetik,2838,L681B,W687W,W350B,W596W,L514B,L178W,W246W,W261B,W113W,W123B,L33B,7,49.5,50.5,31,0,7,3,2603
113,249,INT,FM,igorvershinin2009,Igor Vershinin,2637,L647B,L200W,U--,W405B,W346B,W615W,W276B,W313W,L112B,W209W,W160B,7,43.5,44.5,30.5,0,7,4,2510
114,164,IRN,FM,farzadbfd,Farzad Bolourchifard,2745,W313W,W397B,W500B,W25W,L12B,L17B,W171W,D23B,L51W,W150B,L64W,6.5,70,73,37,0,6,3,2803
115,219,RUS,GM,Goryachkina,Aleksandra Goryachkina,2680,W329W,D513W,L49B,W256W,W167B,W68B,W51W,L15B,W63W,L65B,L50B,6.5,68.5,73,39.75,0,6,2,2814
116,110,UKR,FM,PyrihRoman,Roman Pyrih,2752,W264W,W656B,W91B,L23W,D126W,W215B,L10W,W316B,W119W,L484B,L60W,6.5,67,68,32.75,0,6,4,2768
117,119,RUS,GM,Gabrielian_Artur,Artur Gabrielian,2817,W730W,W676B,W179B,L3W,W279B,L54B,W61W,W94W,D34B,L30B,L55W,6.5,67,67,30.5,0,6,3,2768
118,170,RUS,FM,Ramosha,Arman Geivondian,2727,W202W,W349B,D133B,L49W,D315W,W47B,W525W,W45W,L27B,D131W,L66W,6.5,66.5,70.5,38.75,0,5,2,2747
119,264,RUS,FM,KononenkoD,Dmitry Kononenko,2605,W289W,L79W,W536B,L8B,W237W,D98B,W187W,W53B,L116B,L50W,W218B,6.5,66.5,70.5,37,0,6,3,2725
120,226,GTM,FM,ketster,Ekaterina Goltseva,2689,L56B,W628W,W569B,L13B,W319W,W200B,L57W,W185W,D67B,W144B,L63W,6.5,64.5,66.5,31.75,0,6,3,2676
121,405,POL,FM,kamilianin235,Kamil Warchoł,2546,L8W,W742B,W532W,W149B,W495W,L92B,L80W,D125W,W240B,W216W,L62B,6.5,64,64,30.25,0,6,3,2734
