Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,USA,GM,Hikaru,Hikaru Nakamura,3276,W284B,W36W,W45B,W356W,W16B,W15W,W294B,D3W,D12B,W5W,W10W,10,74.5,74.5,65.75,0,9,4,3009
2,23,TUV,GM,ChristopherYoo,Christopher Woojin Yoo,3026,W429B,W359W,D38B,W30B,W321W,W31B,W4W,D69W,D9B,W54W,W8W,9.5,70,71.5,60,0,8,3,2952
3,2,NOR,GM,MagnusCarlsen,Magnus Carlsen,3313,W482W,W56B,W367W,W53B,D43W,W44B,W8W,D1B,L5B,W9W,W17B,9,75,75,57.5,0,8,4,2978
4,3,SRB,GM,mishanick,Aleksei Sarana,3038,W399B,W32W,W240B,D42W,W73B,W296W,L2B,W18W,W11W,D10B,W14W,9,72.5,74.5,57.25,0,8,3,2936
5,9,MEX,GM,Jospem,Jose Martinez,3073,W256B,W197W,D314B,W78W,W79B,D42W,W24B,W16B,W3W,L1B,W26W,9,72,74,58,0,8,4,2923
6,12,VNM,GM,LiemLe,Liem Le,3043,W340W,W144B,L160W,W337W,W61B,W96W,W17B,W46B,L10W,W53B,W18W,9,65.5,69.5,56,0,9,5,2849
7,15,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W353B,W214W,D327B,W47W,W14W,L303B,D160W,W21W,W299B,W50B,W20W,9,62.5,66,56,0,8,3,2819
8,14,DEU,GM,Msb2,Matthias Bluebaum,3112,W129W,W318B,W361W,D14B,W35W,W43B,L3B,W304W,W32B,W12W,L2B,8.5,73,76,53.5,0,8,3,2902
9,7,USA,GM,jefferyx,Jeffery Xiong,3067,W365B,W74W,W102B,L44W,W80B,W310W,W309B,W19W,D2W,L3B,W35B,8.5,70,73,52.25,0,8,5,2898
10,6,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W110W,W345B,W400W,L43B,W60W,W327B,W44W,W294W,W6B,D4W,L1B,8.5,68.5,70.5,49,0,8,3,2942
11,13,USA,GM,Shankland,Sam Shankland,2903,W366B,W158W,W310B,L295W,W106W,W311B,W26W,W51W,L4B,D13W,W30B,8.5,67,70,50.75,0,8,4,2835
12,4,CHL,GM,nihalsarin,Nihal Sarin,3211,W285W,W409B,W21W,W213B,L44W,W48B,W42B,W297W,D1W,L8B,W34W,8.5,67,67,46.5,0,8,4,2938
13,33,KOR,GM,sergoy,Sergey Drygalov,2956,W397B,W445W,D321B,W307W,W23B,L69W,W47B,D20W,W93W,D11B,W32W,8.5,64,65,47.5,0,7,3,2799
14,55,RUS,GM,topotun,Mikhail Panarin,2843,W111W,W94B,W127W,D8W,L7B,W345B,W31W,D296W,W297B,W19W,L4B,8,71.5,75,49.75,0,7,3,2932
15,27,USA,GM,TheSilmarils,Giorgi Margvelashvili,2862,W153B,W124W,W49B,W306W,W299W,L1B,D305W,W30W,D54B,L26B,W55W,8,69,74,49.75,0,7,2,2841
