Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,11,MEX,GM,Jospem,Jose Martinez,3073,W486B,W336W,W167B,W55W,W53B,W16W,W4W,W7B,W2W,W9B,W14W,11,75,75,75,0,11,5,2974
2,2,USA,GM,Hikaru,Hikaru Nakamura,3276,W65W,W343B,W363W,W33B,W51W,D3W,W310B,W304W,L1B,W10W,W4B,9.5,75,78,62.5,0,9,4,2964
3,13,SRB,GM,mishanick,Aleksei Sarana,3038,W120B,W62W,W74B,W321W,W28W,D2B,W21W,L17B,W12W,D14B,W19B,9,77,82,65.25,0,8,3,2884
4,7,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W173B,W112W,W171B,W366W,W307B,W311W,L1B,W5W,W20B,W7W,L2W,9,74,77,56.5,0,9,4,2948
5,20,MNE,GM,Kiborg95,,2839,W387W,W341B,W316W,W25B,W8W,L304W,W73B,L4B,W54W,W61B,W17W,9,70.5,73,57,0,9,4,2883
6,8,DEU,GM,Msb2,Matthias Bluebaum,3112,W395W,W86B,L320W,W149B,W19B,W55W,W29B,L15W,W40B,W52W,W16B,9,70,72,59,0,9,6,2805
7,12,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W458W,W399B,W82W,W364B,W52W,W14B,W304B,L1W,W17W,L4B,W15W,9,69.5,70.5,50.5,0,9,4,2976
8,3,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W335B,W425W,W38B,W56W,L5B,W34W,D10B,W35W,D21W,W20B,D9W,8.5,75.5,77,55.5,0,7,3,2891
9,14,DEU,GM,frederiksvane,Frederik Svane,3045,L396W,W223B,W165W,W142B,W59W,W37B,W31W,W61W,W11B,L1W,D8B,8.5,71.5,73.5,56.25,0,8,4,2818
10,23,PER,IM,MITerryble,Renato Terry,3002,W507B,L106W,W203B,W95W,W60B,W57W,D8W,W313B,W48W,L2B,W35W,8.5,69.5,69.5,49.75,0,8,4,2788
11,6,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W165W,W361B,W19W,W365B,L16W,W58B,W307W,W305B,L9W,D29B,W24B,8.5,68,71,50.75,0,8,5,2867
12,37,AZE,GM,Durarbayli,Vasif Durarbayli,2925,W451B,D78W,W197W,D60B,D81W,W343B,W109W,W312B,L3B,W48W,W28W,8.5,63.5,64.5,45.5,0,7,3,2713
13,42,SRB,GM,Beca95,Aleksandar Indjic,2990,L139W,W286B,W216W,W168B,D343W,W86B,W104W,W310W,L304B,W74B,W29W,8.5,57,58,43.75,0,8,4,2718
14,1,NOR,GM,MagnusCarlsen,Magnus Carlsen,3313,W217B,W438W,W32B,W24W,W305B,L7W,D311B,W34W,W15B,D3W,L1B,8,76,77,49.75,0,7,4,2946
15,21,AZE,GM,vugarrasulov,Vugar Rasulov,2933,W460B,W142W,W46B,W317W,L304B,W26B,W32W,W6B,L14W,W36W,L7B,8,74,75,51,0,8,4,2882
16,29,IND,GM,Vaathi_Coming,Aravindh Chithambaram,2934,W126B,W110W,W81B,W318W,W11B,L1B,L17W,W317W,W308B,W304W,L6W,8,73,78,50,0,8,4,2901
17,5,USA,GM,jefferyx,Jeffery Xiong,3067,W207B,W75W,W371B,W345W,L311B,W54W,W16B,W3W,L7B,W21W,L5B,8,70,73,49.5,0,8,3,2898
18,39,RUS,GM,alexrustemov,Alexander Rustemov,2852,W141B,W262W,W107B,D105W,L310W,W68B,W76W,D30W,D28B,W73W,D22B,8,66,69,49,0,6,3,2725
