Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,10,USA,GM,DanielNaroditsky,Daniel Naroditsky,3094,W382W,W154B,W45W,W39W,D16B,W49W,W83B,W5W,L2B,W36B,W10W,9.5,76.5,80,66.5,0,9,3,2889
2,5,USA,GM,Konavets,Sam Sevian,3131,W159B,W488W,W442B,W20W,W11B,L4W,W334B,W25W,W1W,D3B,W12W,9.5,75.5,76.5,62.75,0,9,4,2945
3,12,DEU,GM,Msb2,Matthias Bluebaum,3124,W410W,W501B,W441W,W337B,W23W,W15B,D5B,W35W,D4B,D2W,W11W,9.5,70.5,71.5,57.75,0,8,3,2977
4,22,ARM,GM,Sargsyan_Shant,Shant Sargsyan,3051,W235W,W24B,W113W,W64B,W348W,W2B,D35B,W15W,D3W,L10B,W23W,9,77,81,64,0,8,3,2949
5,2,IRN,GM,Parhamov,Parham Maghsoodloo,3095,W103W,W503B,W26W,W65B,W194W,W333B,D3W,L1B,D6W,W335B,W21W,9,76.5,77.5,58.75,0,8,4,2957
6,40,USA,GM,MikaelyanArman,Arman Mikaelyan,2933,W237W,W86B,W362W,W359B,D17B,D10W,W23B,D16W,D5B,W63W,W29W,9,71.5,75.5,58.75,0,7,3,2892
7,29,DEU,GM,GM_dmitrij,Dmitrij Kollars,3048,W368B,W67W,W341B,W350W,D83B,W41W,L15W,W14B,D17W,W334B,W32B,9,71,75,59.75,0,8,5,2875
8,23,TUV,GM,ChristopherYoo,Christopher Woojin Yoo,3015,W396B,W398W,D347B,W75W,L49B,W85W,W55W,D61B,W114W,W22W,W17B,9,64.5,67.5,54.5,0,8,2,2822
9,36,IRN,FM,rezamahdavi2008,Reza Mahdavi,3068,W119W,D160B,W472W,W416B,W380B,L83W,W37B,D49W,W80W,W333B,W35W,9,60,61.5,48.75,0,8,4,2792
10,7,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3081,W97B,W399W,W54B,D36W,W48B,D6B,W344W,W51B,D11W,W4W,L1B,8.5,76,79,57,0,7,4,2894
11,44,AZE,GM,vugarrasulov,Vugar Rasulov,2937,W302W,W123B,W85W,W62B,L2W,W99B,W87W,W333W,D10B,W15W,L3B,8.5,75,77,53.75,0,8,3,2882
12,20,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3080,W369W,W356B,W444W,D49B,W36B,D16W,W346B,D20W,W40W,W35B,L2B,8.5,68.5,70.5,49.5,0,7,4,2892
13,33,ARM,GM,Gareth-Bale11,Mamikon Gharibyan,2953,W401B,W502W,L88B,W454W,D85B,W24W,L27B,W94W,W37B,W55W,W42B,8.5,62.5,63.5,45.75,0,8,3,2688
14,59,RUS,GM,SavelijTartakover,Dmitry Kryakvin,2918,D92W,U--,W298B,W182W,W234W,W382B,W122W,L7W,W86B,W84B,W40W,8.5,54.5,56.5,44.25,0,8,4,2652
15,1,USA,GM,Hikaru,Hikaru Nakamura,3295,W390B,W91W,W437B,W50W,W84B,L3W,W7B,L4B,W16W,L11B,W36W,8,74.5,76.5,49.5,0,8,4,2922
16,75,INT,IM,MyDream003,Zou Chen,2872,W223W,W374B,W206W,W32B,D1W,D12B,W84W,D6B,L15B,D58W,W57B,8,73,77,52,0,6,3,2913
17,4,IRN,GM,amintabatabaei,Amin Tabatabaei,3118,W543W,W66B,W392W,W52B,D6W,D334B,D65W,W111W,D7B,W30B,L8W,8,72,72,47,0,6,3,2898
18,48,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2924,W372W,W186B,W98W,W121B,L35B,D70W,W77B,L29B,D24W,W48B,W60W,8,69,73,50,0,7,4,2750
19,24,ALA,FM,TanitoluwaAps116,Tanitoluwa Adewumi,2859,W142W,W158B,W28W,W125B,W88W,L35W,L111B,L70W,W66B,W53W,W49B,8,68,73.5,53,0,8,4,2777
20,58,VNM,GM,crescentmoon2411,Nguyen Ngoc Truong Son,2893,W264B,W129W,W112W,L2B,W398W,W48W,W345B,D12B,L36W,D28W,W58B,8,68,71,45.75,0,7,3,2787
21,18,USA,GM,rednova1729,Awonder Liang,3012,W544W,W76B,W37W,L114W,L341B,W121W,W59B,W125W,W338B,W31W,L5B,8,68,68,47.5,0,8,3,2793
22,45,RUS,CM,stollenmonster,Egor Baskakov,2975,W151B,D152W,W137B,W420W,L41B,W123W,W149B,W38W,D29W,L8B,W63B,8,67.5,70,46.75,0,7,4,2772
23,77,TCA,FM,Dolphin_2010,Aleksandr Usov,2835,W94W,W252B,W198W,W389B,L3B,W360W,L6W,W166B,W71W,W38W,L4B,8,67,70,42.5,0,8,3,2852
24,173,USA,WGM,Crazy_girl99,Gulrukhbegim Tokhirjonova,2729,W224W,L4W,W175B,W387W,D56B,L13B,W151W,W132B,D18B,W114W,W61W,8,66.5,70,45,0,7,2,2740
25,37,DNK,GM,lilleper1,Jonas Bjerre,2903,W565B,W273W,W349B,L48B,W115W,W63B,W337W,L2B,W54B,L32W,W79B,8,65.5,65.5,41,0,8,5,2801
26,82,USA,FM,Bryanl106,Bryan Enming Lin,2818,W244B,W157W,L5B,W153W,W62W,L87B,D96W,W155B,W342W,D65B,W71W,8,65,69,46.75,0,7,2,2708
27,98,DEU,GM,JanistanTV,Jan Gustafsson,2806,W328B,W104W,L35B,W367W,W217B,D335W,W13W,L40B,D117W,W118B,W51B,8,64.5,64.5,43,0,7,4,2756
28,119,USA,GM,DryCounty,Alex Fishbein,2728,W465W,W87B,L19B,L217W,W168B,W180W,W173B,W56W,D50W,D20B,W65W,8,64,66,46,0,7,3,2698
29,14,RUS,GM,dropstoneDP,David Paravyan,3097,W417W,L115B,W369W,D86B,W411B,W381W,W60B,W18W,D22B,W51W,L6B,8,62,64.5,42.25,0,7,2,2744
30,34,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3093,W545W,W464B,W149W,L88B,W91B,W125W,L336B,W53W,W49B,L17W,W80W,8,61.5,61.5,41,0,8,3,2777
31,42,RUS,GM,alexrustemov,Alexander Rustemov,2835,W170W,W443B,L48W,D402B,W342W,W86W,D347B,W99W,W70B,L21B,W68W,8,61,63,44,0,7,2,2716
32,13,USA,GM,spicycaterpillar,Ray Robson,3087,W221B,W424W,W421B,L16W,L37B,W395W,W362W,W68B,W52W,W25B,L7W,8,60.5,63,38.5,0,8,4,2785
33,6,USA,GM,Philippians46,Andy Woodward,3131,L532W,W228B,W163B,W273W,W53W,L54B,L48W,W126B,W352W,W85B,W56W,8,58.5,59.5,44.5,0,8,4,2671
34,181,BRA,FM,Nf3c5,Iung Alicio de O. Pinheiro,2651,W282W,L84W,L181B,W514B,L209W,W465B,W116B,W153W,W166W,W54B,W52W,8,52.5,53.5,37,0,8,4,2618
35,8,SRB,GM,mishanick,Aleksei Sarana,3101,W546W,W124B,W27W,W336B,W18W,W19B,D4W,L3B,W65W,L12W,L9B,7.5,79,79,47.5,0,7,3,2928
36,68,POL,IM,Szparu,Miłosz Szpar,2881,W43B,W120W,W153B,D10B,L12W,W353B,W132W,W340W,W20B,L1W,L15B,7.5,73,77.5,47.25,0,7,4,2866
37,111,CAN,GM,attack2mateU,Razvan Preotu,2761,W189W,W175B,L21B,W101W,W32W,D194B,L9W,W359B,L13W,W93B,W95W,7.5,68,72.5,44.5,0,7,3,2778
38,21,USA,GM,Shankland,Sam Shankland,3053,W278B,W150W,L53B,W155W,D77W,W124B,W89W,L22B,W44W,L23B,W73W,7.5,68,71,44.5,0,7,2,2723
39,70,LTU,GM,ContrVersia,Valery Kazakouski,2846,W176B,W234W,W428W,L1B,W67W,L60B,W93W,W69B,D84W,L40B,W85W,7.5,66.5,69,41.75,0,7,2,2737
40,35,HUN,GM,bancsoo,Tamas Banusz,3004,W218B,D128W,W160W,L347B,W354W,W150B,W341W,W27W,L12B,W39W,L14B,7.5,64.5,69,44,0,7,2,2740
41,95,IND,FM,wqws,Kaivalya Sandip Nagare,2834,W527W,D95B,W193W,W414B,W22W,L7B,L335B,W152W,L58B,W117B,W83W,7.5,63,64,37.75,0,7,2,2747
42,93,POL,WGM,Sanyura,Aleksandra Maltsevskaya,2769,W547W,D193B,L342W,W184B,W103W,L122B,W130W,W123B,W90W,W50B,L13W,7.5,62,62,39.5,0,7,3,2613
43,325,RUS,FM,wild3000,Rushan Bogaudinov,2457,L36W,W324B,W405W,L74B,W154W,W115B,L63W,W370B,D88B,W150W,W111W,7.5,58,58,33.25,0,7,3,2700
44,109,GRC,IM,SoLuckyThough,Stavroula Tsolakidou,2726,L87W,L317B,W219W,D185W,W146B,W247W,W382W,W357B,L38B,W159W,W84W,7.5,53.5,54.5,37,0,7,2,2572
