Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,6,RUS,GM,Duhless,Daniil Dubov,3122,W509W,W394B,W361W,W314B,D20W,W15B,W10W,D3B,W16B,D2W,W9W,9.5,72.5,72.5,59.25,0,8,4,2998
2,5,USA,GM,Konavets,Sam Sevian,3134,W508B,L61W,W112B,W199W,W180B,W62W,W314B,W57W,W18B,D1B,W11W,9.5,68.5,69,57.25,0,9,5,2868
3,7,RUS,GM,lachesisQ,Ian Nepomniachtchi,3160,W85B,W343W,W379B,W383W,W4B,W14W,D138B,D1W,W20W,D9B,D12W,9,71.5,74.5,58.25,0,7,3,3027
4,30,ARM,GM,Njal28,Aram Hakobyan,3041,W543W,W293B,W104W,W56B,L3W,W48W,W330B,D11W,W34B,W10W,D14B,9,68,68,50.5,0,8,4,2929
5,17,SRB,GM,mishanick,Aleksei Sarana,3038,W533B,W356W,W36B,L326W,W79B,W35W,L16W,W30B,W317W,W52B,W17W,9,67.5,67.5,54.5,0,9,5,2862
6,19,ESP,GM,iturrizaga,Eduardo Iturrizaga Bonelli,2978,W182B,W478W,L50B,W280W,W28B,W30W,W326B,L9B,W315W,W21B,W25W,9,65.5,66.5,51,0,9,4,2855
7,29,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W510B,W83W,L358B,W53W,W82B,W331W,W315B,L18W,W48W,W51B,W27W,9,64.5,64.5,53,0,9,4,2794
8,22,USA,GM,FabianoCaruana,Fabiano Caruana,3101,L485W,W236B,W105B,W333W,D75B,W88W,W335W,W38B,D313W,W49B,W31B,9,62,63,55.25,0,8,5,2793
9,1,USA,GM,Hikaru,Hikaru Nakamura,3276,W110B,W55W,W330B,W41W,L10B,W342W,W25B,W6W,W12B,D3W,L1B,8.5,78,82,59.5,0,8,4,2991
10,25,NLD,GM,joppie2,Jorden Van Foreest,3026,W496B,W108W,W380B,W27W,W9W,D11B,L1B,W323W,W15W,L4B,W36W,8.5,74,75,52.25,0,8,2,2962
11,9,USA,GM,LevonAronian,Levon Aronian,3039,W511B,W476W,W62B,W378W,W19B,D10W,D20W,D4B,W14W,W13B,L2B,8.5,71,71,48.75,0,7,4,2982
12,8,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W384W,W469B,W185W,W320B,L17W,W27B,W334W,W32B,L9W,W19B,D3B,8.5,68.5,69.5,48.5,0,8,5,2958
13,20,IND,GM,vi_pranav,Pranav V,3103,W432W,W43B,W48W,D42B,L321W,W75W,W336B,W320B,W33W,L11W,W37B,8.5,68,70,52.25,0,8,4,2898
14,11,IRN,GM,amintabatabaei,Amin Tabatabaei,3095,W388B,W429W,W376B,W255B,W326W,L3B,W31W,W17W,L11B,W16W,D4W,8.5,65,67,45,0,8,3,2954
15,34,TUV,GM,ChristopherYoo,Christopher Woojin Yoo,3026,W377W,D77B,W454W,W144B,W358W,L1W,W36B,W324W,L10B,W76B,W33W,8.5,63.5,65,43.75,0,8,3,2855
16,56,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2912,W167W,W344B,W165W,D34W,D33B,W67W,W5B,W312B,L1W,L14B,W51W,8,73.5,77.5,52,0,7,3,2906
17,33,USA,GM,DominguezOnYoutube,Leinier Dominguez Perez,2968,W396B,W486W,W28B,W51W,W12B,D18W,D312W,L14B,W54B,W70W,L5B,8,73.5,74.5,49.25,0,7,4,2905
18,10,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W66W,W369B,W21W,W328B,W334W,D17B,D316W,W7B,L2W,L25B,W50W,8,72.5,76,51.5,0,7,3,2926
19,35,ESP,GM,Fandorine,Maksim Chigaev,2933,W109B,W420W,W76B,W319W,L11W,W49B,W54W,D33W,D24B,L12W,W58W,8,72,74,49.25,0,7,3,2882
20,28,USA,GM,jefferyx,Jeffery Xiong,3067,W142W,W389B,W409W,W58W,D1B,W78W,D11B,W138W,L3B,L27W,W48B,8,70,72.5,46.5,0,7,2,2931
21,78,BIH,IM,mbojan,Bojan Maksimović,2948,W171W,W60B,L18B,L113W,W368B,W110W,W105B,W35B,W23W,L6W,W67B,8,69.5,73,50,0,8,5,2755
22,26,DEU,GM,rasmussvane,Rasmus Svane,2941,W120W,W126B,W49W,L50W,W51B,D36W,L324B,W95B,W75W,W80W,D24B,8,68,73.5,53.25,0,7,3,2798
23,24,RUS,GM,dropstoneDP,David Paravyan,2992,W130W,W479B,W54W,L78B,D76W,W144B,D37W,W50W,L21B,W114W,W49B,8,67,68,46.5,0,7,3,2791
24,4,USA,GM,DanielNaroditsky,Daniel Naroditsky,3181,W75W,W59B,D410W,L324B,W391B,W203W,D26B,W41W,D19W,W39B,D22W,8,65.5,68,49.25,0,6,3,2875
25,37,ARE,GM,Salem-AR,Salem AR Saleh,3104,W430B,W98W,D408B,D220W,W107B,W69W,L9W,W84B,W56W,W18W,L6B,8,65,67,46.25,0,7,3,2844
26,53,TUR,GM,SantoBlue,Vahap Sanal,2963,D147B,W257W,W460B,W97W,W34B,L312B,D24W,L49B,W125W,W122W,W69B,8,64,65.5,44.25,0,7,3,2777
27,84,RUS,IM,Eduard_Limonov,Yaroslav Remizov,2906,W451W,W351B,W381W,L10B,W370W,L12W,W143B,W106B,W60W,W20B,L7B,8,63,65,39,0,8,4,2810
28,115,CHN,NM,Abund,Qingyu Yuan,2734,W513B,W481W,L17W,W65B,L6W,W124B,L106W,W66B,W111W,W104W,W52B,8,63,63,40,0,8,5,2692
29,61,ESP,GM,h4parah5,Jaime Santos Latasa,2934,W86B,W285W,L319B,W344W,L67B,W384W,W53B,W55W,L312W,W61B,W70B,8,62,64,43.5,0,8,4,2682
30,80,SRB,GM,Mikhail_Bryakin,Mikhail Bryakin,2892,W200W,L165B,W226W,W362W,W142B,L6B,W319W,L5W,W177B,W77B,W57W,8,61.5,65,42,0,8,3,2716
31,46,IND,GM,Vaathi_Coming,Aravindh Chithambaram,2934,W352W,W297B,D220W,D77W,W123B,W356W,L14B,W331W,W107B,W313B,L8W,8,60,61,38.25,0,7,4,2794
32,27,MEX,GM,Jospem,Jose Martinez,3073,W512B,W153W,W426B,D358W,W324W,D321B,W317W,L12W,L37B,W107W,W54W,8,57,57,36.5,0,7,2,2828
