Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,13,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W166W,W82B,W38W,W22W,D9B,W333W,W13B,W57W,W15B,W3W,D4B,10,77.5,82,73.25,0,9,3,2874
2,6,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W306B,L106W,W434B,W273W,W368B,W26W,D16B,W9W,W30B,W15W,W11B,9.5,62.5,62.5,52.5,0,9,5,2788
3,27,IRN,FM,rezamahdavi2008,Reza Mahdavi,2996,W441W,W28B,W43W,W50B,W17W,W16B,L36W,W12W,W8B,L1B,W32W,9,81,82.5,65,0,9,4,2920
4,4,RUS,GM,Duhless,Daniil Dubov,3122,W90B,W62W,D54B,W40W,W143B,W9W,L15B,W16W,W33B,W32W,D1W,9,77.5,83,66.5,0,8,3,2871
5,14,PER,IM,MITerryble,Renato Terry,3002,W120B,W109W,W402B,L80W,W19B,W53W,W128B,L8B,W26W,W59W,W20B,9,71.5,73.5,58,0,9,5,2819
6,5,USA,GM,jefferyx,Jeffery Xiong,3067,W158W,W342B,W146W,L20W,W83B,W17W,W322B,L34W,W47B,W313B,W23W,9,68,72,56.5,0,9,5,2842
7,10,RUS,GM,lachesisQ,Ian Nepomniachtchi,3160,W376B,W61W,L315B,W96B,W60W,W323B,L35W,W320W,W48B,W55W,W15B,9,66.5,69.5,56,0,9,5,2767
8,3,USA,GM,HansOnTwitch,Hans Niemann,3128,W162W,W117B,W52W,W85B,W339W,U--,W317B,W5W,L3W,W57B,W10W,9,64,68,59,0,9,4,2898
9,39,MNE,GM,Kiborg95,,2839,W95W,W45B,W144W,W105B,D1W,L4B,W67W,L2B,W94W,W41B,W36W,8.5,77,82.5,59,0,8,3,2826
10,7,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W404W,W334B,W87W,W21B,L15W,D48B,W80W,W14B,W35W,W34B,L8B,8.5,73,75,54.5,0,8,4,2882
11,11,MEX,GM,Jospem,Jose Martinez,3073,W150W,W84B,L50W,W173B,W147W,W49B,W85W,D35B,W81W,W36B,L2W,8.5,69,74,53.75,0,8,4,2796
12,1,CHL,GM,nihalsarin,Nihal Sarin,3211,W303W,W343B,W49W,L339B,W318W,D22B,W315W,L3B,W19W,W39B,W21B,8.5,67,67,50,0,8,3,2791
13,32,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2970,W358B,W96W,W368B,D340W,W354B,W320W,L1W,L81B,W98W,W52B,W33B,8.5,60.5,63.5,45,0,8,5,2755
