Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,2,NOR,GM,MagnusCarlsen,Magnus Carlsen,3313,W341W,W438B,W336W,W89B,W334W,L19B,D11W,W60B,W309W,W2B,W3W,9.5,66.5,67.5,55.25,0,9,4,2936
2,13,SRB,GM,mishanick,Aleksei Sarana,3038,W188B,W116W,W54B,W28W,W33B,W15W,L3W,W25B,W21W,L1W,W11B,9,80,84.5,66,0,9,5,2933
3,1,USA,GM,Hikaru,Hikaru Nakamura,3276,W460B,W333W,D81B,W363W,W46B,W14W,W2B,W31W,D5B,W4W,L1B,9,73.5,74.5,57.25,0,8,3,2962
4,18,ESP,GM,h4parah5,Jaime Santos Latasa,2934,W370W,W168B,D103W,W214W,D22B,W26B,W29W,W41B,W307W,L3B,W21W,9,70.5,73.5,57.5,0,8,3,2857
5,3,FRA,GM,Firouzja2003,Alireza Firouzja,3188,W478B,W364W,W72B,W335W,D48B,W78W,W13B,D19W,D3W,W31B,D10W,9,69.5,69.5,53,0,7,4,2955
6,23,TUV,GM,ChristopherYoo,Christopher Woojin Yoo,3026,W479B,W344W,W45B,W321W,D80B,L24B,D49W,W84B,W26W,W22B,W20W,9,68,68,53.25,0,8,4,2799
7,40,RUS,FM,Iball95,Igor L. Vakhlamov,2814,W202W,L77B,W106W,W277B,W137W,W315B,L8W,W316B,W27W,W55B,W23W,9,64.5,66.5,51,0,9,4,2765
8,5,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W451B,W232W,W400B,W330W,L313B,W52W,W7B,L11W,W24B,W307B,W18W,9,63,64,50.5,0,9,5,2891
9,14,DEU,GM,GM_dmitrij,Dmitrij Kollars,3000,W509W,W109B,W405W,D11B,W79B,D311W,L307B,W312W,W85B,W308W,W19B,9,63,63,48.75,0,8,4,2850
10,11,DEU,GM,Msb2,Matthias Bluebaum,3112,W295B,W403W,D214B,L79W,W143B,W357W,W44B,W140W,W74B,W12W,D5B,9,58.5,58.5,45.5,0,8,4,2813
11,56,ITA,GM,moro182,Luca Moroni Jr,2901,W172W,W145B,W388W,D9W,W74B,W80W,D1B,W8B,W23W,D18B,L2W,8.5,76.5,79.5,57,0,7,3,2924
12,8,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W480W,W71B,W75W,L33B,W58W,W72B,D15W,W310B,W13W,L10B,W32W,8.5,75,75,54.25,0,8,3,2874
13,50,LTU,GM,ContrVersia,Valery Kazakouski,2838,W481W,W340B,W338B,D32W,W56B,W37W,L5W,W34B,L12B,W74W,W46B,8.5,69,69,47.75,0,8,5,2907
14,37,FRA,GM,baki83,Etienne Bacrot,2889,W139B,W141W,W399B,W315W,D37B,L3B,D316W,D42W,W38B,W40W,W31W,8.5,67.5,69.5,50.5,0,7,3,2854
15,57,ESP,GM,AlexeiShirov,Alexei Shirov,2822,W496B,W415W,W402W,W20B,W23W,L2B,D12B,W32W,L31B,W83W,W53W,8.5,66,66,45.25,0,8,2,2924
16,26,AZE,GM,ChessLover0108,Mahammad Muradli,2943,W113W,W292B,D49W,L22W,D126B,W341W,W333B,D38W,W44W,W42B,W34W,8.5,65,66,47.75,0,7,3,2754
17,32,AZE,GM,Durarbayli,Vasif Durarbayli,2925,W142W,W439B,D316W,W36B,L49B,W327W,L312B,W76W,W103W,W82B,W37W,8.5,61.5,62.5,47.5,0,8,3,2770
18,64,UZB,GM,ChessWarrior7197,Nodirbek Abdusattorov,3069,U--,W419W,W142B,W280W,W327B,W321W,W313B,W48W,W19B,D11W,L8B,8.5,54,56,42.75,0,8,4,2852
19,22,USA,GM,DominguezOnYoutube,Leinier Dominguez Perez,2968,W348W,W322B,W38W,W43W,W25B,W1W,D31W,D5B,L18W,W41B,L9W,8,78.5,82.5,56.75,0,7,3,2964
20,16,HUN,GM,Sanan_Sjugirov,Sanan Sjugirov,2931,W498W,W105B,W40W,L15W,W39B,W85B,L25W,W54B,W51W,W63W,L6B,8,74,74,48.5,0,8,4,2826
21,24,AZE,GM,vugarrasulov,Vugar Rasulov,2933,W147W,L107B,W139W,W141B,W30W,W27B,W22W,W62B,L2B,W60W,L4B,8,73,78.5,54.5,0,8,3,2782
22,97,USA,IM,chenxiaoyuer,Ryo Chen,2907,W251B,W347W,D309W,W16B,D4W,W89B,L21B,W61W,W311B,L6W,W48W,8,71.5,74.5,49.75,0,7,4,2874
23,17,PER,IM,MITerryble,Renato Terry,3002,W482B,W121W,W312B,W307W,L15B,W331W,W63W,W24B,L11B,W52W,L7B,8,70.5,70.5,44.5,0,8,3,2847
24,72,IRN,GM,pouya21,Pouya Idani,2909,W120W,D267B,W345W,W77B,W32B,W6W,D48B,L23W,L8W,W128B,W55W,8,70,72.5,50.75,0,7,3,2841
25,59,USA,GM,HeartAblaze,,2844,W447B,W138W,W164B,W314W,L19W,W50B,W20B,L2W,L55B,W56W,W60B,8,68.5,69.5,45.5,0,8,5,2824
26,75,USA,GM,GMG,Andrey Gorovets,2743,L59B,W251W,W122B,W145W,W114B,L4W,W149W,W105B,L6B,W125W,W50B,8,67,70,45,0,8,4,2686
27,86,POL,GM,grzechu96,Grzegorz Nasuta,2737,L329W,W191B,W343W,W138B,W317W,L21W,W339B,W146W,L7B,W68W,W63B,8,60,64,42.5,0,8,4,2641
28,55,UKR,GM,eljanov,Pavel Eljanov,2862,W343B,W428W,W404B,L2B,L102W,W367W,W50B,L55W,W109W,W104B,W62W,8,57,58.5,36.5,0,8,4,2710
29,54,HUN,GM,bancsoo,Tamas Banusz,2843,W483W,L402B,W196W,W148B,W233W,W344B,L4B,L104W,W105W,W70B,W54W,8,55,55,38,0,8,3,2695
30,106,RUS,FM,sofaceindisguise,Dmitry Tatarinov,2728,W497W,L264B,W447W,W339B,L21B,W142W,W87W,L308B,W166W,W57B,W52B,8,53.5,53.5,36,0,8,3,2661
31,10,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W416W,W50B,W69W,W140B,W35W,W313W,D19B,L3B,W15W,L5W,L14B,7.5,75,77,46.5,0,7,2,2949
32,9,VNM,GM,LiemLe,Liem Le,3043,W119B,W458W,W44B,D13B,L24W,W56W,W79B,L15B,W75W,W43W,L12B,7.5,74.5,75.5,46.25,0,7,3,2841
33,49,HUN,GM,sergiochess83,Sergey Grigoriants,3000,W129B,W165W,W107B,W12W,L2W,W55B,L53W,W80B,L60W,W58B,D41W,7.5,71.5,76.5,49.75,0,7,5,2827
34,4,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W117W,W102B,L51W,W326B,W38W,W90B,D35W,L13W,W81B,W62W,L16B,7.5,71,75.5,47.75,0,7,4,2813
35,38,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2970,W319W,W318B,W323W,W215W,L31B,W54W,D34B,L74W,L42B,W61W,W66B,7.5,64.5,68.5,43.25,0,7,2,2763
36,110,TUR,IM,Adar_07,Adar TARHAN,2851,W382W,W167B,D73B,L17W,L341B,W100W,W110W,W86B,L78B,W115W,W81B,7.5,62.5,65.5,43,0,7,3,2711
37,6,USA,GM,jefferyx,Jeffery Xiong,3067,W461W,W450B,W331W,W57B,D14W,L13B,L60W,W317B,W79B,W78W,L17B,7.5,62.5,63.5,35.25,0,7,4,2821
38,98,NLD,IM,DeTimmerman,Mark Timmermans,2736,W191W,W457B,L19B,W365W,L34B,W342W,W166W,D16B,L14W,W154B,W86W,7.5,61,62,33.75,0,7,2,2753
39,107,BRA,GM,GMRafpig,Rafael Leitao,2790,W198B,W193W,L313W,W61B,L20W,D348B,W328W,W94B,L43B,W93W,W79B,7.5,60.5,64.5,42,0,7,4,2684
40,91,ARG,IM,lamomiajunior,Joaquin Fiorito,2772,W88B,W407W,L20B,L369W,W202B,W117W,D115B,W318W,W310W,L14B,W77W,7.5,60.5,62.5,40,0,7,2,2684
41,87,AUT,GM,MarkusRagger,Markus Ragger,2850,W337B,W65W,W397B,L313B,W382W,W334B,W314W,L4W,W48B,L19W,D33B,7.5,59.5,61.5,35.75,0,7,4,2887
42,100,POL,GM,oskariot,Oskar Wieczorek,2742,W381W,W448B,L334W,W131B,L53W,W370B,W337W,D14B,W35W,L16W,W83B,7.5,58,59,35.25,0,7,4,2755
43,61,ARM,FM,Alex_Sahakyan2006,Alex Sahakyan,2698,W449B,W413W,W367W,L19B,L50W,W144B,D83W,W325B,W39W,L32B,W82W,7.5,58,59,33.25,0,7,3,2741
44,81,UKR,IM,Mops_2004,Dmitriy Kushko,2760,W409B,W412W,L32W,W415B,D188W,W345B,L10W,W121W,L16B,W138W,W74B,7.5,55.5,57.5,30.25,0,7,4,2723
45,99,RUS,FM,GoltsevDmitry2000,Goltsev Dmitry,2802,W452B,W197W,L6W,L110B,W195W,D355B,W207B,L138W,W328B,W94W,W78B,7.5,55,56,33.75,0,7,4,2624
46,65,USA,IM,Yaacovn,Yaacov Norowitz,2950,D427B,W426W,W424W,W353B,L3W,L74B,W356W,W327B,W138B,W309W,L13W,7.5,50.5,52,27.25,0,7,3,2757
47,64,ARE,IM,Kirill_Klukin,Kirill Klukin,2907,L459W,D476B,W468B,D319W,W264B,D173W,W92B,L83W,W144B,W148W,W76W,7.5,45,45.5,32.75,0,6,4,2565
48,31,USA,GM,TigrVShlyape,Gata Kamsky,2866,W320B,W441W,W82B,W51B,D5W,W49B,D24W,L18B,L41W,W80W,L22B,7,73,74,41.5,0,6,4,2855
49,101,CHN,NM,Abund,Qingyu Yuan,2734,W510B,W189W,D16B,W309B,W17W,L48W,D6B,L311W,W117B,L53B,W108W,7,69,69,40.25,0,6,3,2845
50,148,SRB,GM,Hasangatin_Ramil,Рамиль Хасангатин,2704,W351B,L31W,W329B,W123W,W43B,L25W,L28W,W119B,W146B,W51W,L26W,7,68,72,40.5,0,7,5,2718
51,74,CHL,GM,XDPS,Pablo Salinas Herrera,2812,W124W,W110B,W34B,L48W,L322B,W369W,W96B,W66W,L20B,L50B,W111W,7,65.5,68.5,42,0,7,3,2757
