Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1
1,14,USA,GM,jefferyx,Jeffery Xiong,3013,W141B,W293W,W65B,W5W,W16W,W329B,D6W,W319W,D9B,W7W,D2B,9.5,76,77,63.5,0,8,3,2928
2,21,PER,IM,MITerryble,Renato Terry,3050,W123W,W447B,W330W,W68B,D15W,W85W,D18B,W97W,W314B,W19W,D1W,9.5,70.5,71.5,58.75,0,8,3,2879
3,69,POL,IM,Legit,Krzysztof Raczek,2801,W370W,W331B,W12W,D4B,D8W,L332B,W56B,W43W,W24W,W25B,W19B,9,74.5,77.5,63.5,0,8,4,2794
4,10,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3117,W307B,W50W,W277B,D3W,W321W,L30B,W332W,W13W,W317B,W9W,D6B,9,69,69,52.5,0,8,3,2861
5,73,USA,GM,WoodlandMagic,Gleb Dudin,2858,W168W,W166B,W116W,L1B,W210W,L25B,W130B,W333W,W20W,W22B,W21B,9,68,72,54.5,0,9,4,2762
6,4,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3080,W481B,W295W,W365B,W42W,W317B,W320W,D1B,L9W,W16B,W23W,D4W,9,66.5,66.5,48.75,0,8,4,2921
7,65,RUS,IM,Alexander_Khlebovich,Alexander Khlebovich,2737,W154W,W438B,W276W,L19W,W92B,W88B,W49W,W321W,W41B,L1B,W17W,9,64.5,65.5,48,0,9,4,2850
8,22,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2963,W482B,W448W,W58B,D40W,D3B,L323W,W337B,W48W,W97B,W39W,W15B,9,62,62,48,0,8,5,2790
9,16,RUS,GM,dropstoneDP,David Paravyan,3097,W182B,W410W,D355B,W93B,W46W,W11B,W19W,W6B,D1W,L4B,D12W,8.5,74,76,56.25,0,7,4,2856
10,127,DEU,GM,JanistanTV,Jan Gustafsson,2806,W483W,D153B,D22W,W70B,W21B,W20W,W28B,L314W,W326B,W315W,D23B,8.5,71,71,53.5,0,7,4,2850
11,37,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2924,W146W,W427B,W325W,D347W,W37B,L9W,D27B,D66W,W31B,W32W,W34B,8.5,68,69.5,52,0,7,4,2734
12,225,TUR,FM,SalihEke,Salih Eke,2643,W270B,W77W,L3B,W404B,W366W,W322W,W43B,L18W,W324B,W41W,D9B,8.5,63,65,43.75,0,8,4,2817
13,56,INT,GM,Igor_Lysyj,Igor Lysyj,2828,D88B,W163W,W424B,L87W,W78B,W353W,W34W,L4B,W328W,W69W,W30B,8.5,63,64.5,46.5,0,8,3,2669
14,38,USA,GM,TigrVShlyape,Gata Kamsky,2868,W454B,D75W,L44B,W245W,U--,W73B,W235W,W335B,W65W,W66W,W313B,8.5,52.5,53.5,43.25,0,8,4,2596
15,3,RUS,GM,lachesisQ,Ian Nepomniachtchi,3118,W484W,W258B,W31W,W26W,D2B,D41W,W324B,L16W,W85B,W18B,L8W,8,72.5,72.5,47.25,0,7,4,2869
16,61,EGY,IM,HamedWafa4,Hamed Wafa,2760,W237W,W136B,W169W,W17W,L1B,W98B,W329W,W15B,L6W,L21W,W51B,8,71,74.5,48,0,8,4,2884
17,5,DEU,GM,Msb2,Matthias Bluebaum,3124,W485W,W354B,W61W,L16B,W132W,W53B,L26W,W32B,W42W,W29B,L7B,8,70.5,70.5,45.5,0,8,4,2787
18,49,CHL,GM,K_A_S_T_O_R,Rodrigo Vasquez,2715,W190W,W78B,W74W,D188B,W87B,W326W,D2W,W12B,L19B,L15W,W48B,8,70,74.5,51.5,0,7,4,2795
19,9,MEX,GM,Jospem,Jose Martinez,3075,W486W,W359B,W390W,W7B,W314W,W186W,L9B,W26B,W18W,L2B,L3W,8,69,69,42,0,8,3,2906
20,30,INT,GM,Alexander_Donchenko,Alexander Donchenko,2970,L212B,W224W,W328B,W103W,W340B,L10B,W50W,W55W,L5B,W45W,W40B,8,65,69,47.5,0,8,3,2679
21,13,NLD,GM,GMBenjaminBok,Benjamin Bok,3068,W487W,L74B,W152W,W410B,L10W,W133B,W325W,W91B,W26W,W16B,L5W,8,64.5,64.5,40.5,0,8,4,2710
22,18,USA,GM,DanielNaroditsky,Daniel Naroditsky,3094,W152B,D337W,D10B,W402W,W66B,L97B,W338W,W54B,W47W,L5W,W39B,8,64,66,44.75,0,7,4,2745
23,27,RUS,IM,Rud_Makarian,Rudik Makarian,3132,L195W,W473B,W89B,D151W,W57B,W352W,W82W,W318B,W37W,L6B,D10W,8,64,64.5,44.25,0,7,4,2728
24,19,DEU,GM,rasmussvane,Rasmus Svane,3012,W109W,W402B,L45W,W280B,W330W,W67W,L323B,W52W,L3B,W55W,W47B,8,62.5,64.5,42.5,0,8,3,2738
25,20,IRN,FM,rezamahdavi2008,Reza Mahdavi,3068,W328B,W439W,W283B,W360W,L186B,W5W,L97B,W27W,W322B,L3W,W42B,8,60.5,61.5,41.5,0,8,4,2833
26,52,INT,FM,snowlord,Ivan Yeletsky,2870,W406B,W389W,W383W,L15B,W338W,W150B,W17B,L19W,L21B,W104W,W58W,8,58,60,36,0,8,3,2813
